Name	Level	Rooms	Rooms(N)	Rooms(H)	SizeX	SizeY	Merge	Beta
lm0	8	1	1	1	24	24	500	1
lm1	9	4	4	4	24	24	500	1
lm2	10	6	6	6	24	24	500	1
lm3	11	4	4	4	24	24	500	1
lm4	12	4	4	4	24	24	500	1
lm5		1	1	1	24	24		1
lm6	13	1	1	1	24	24		1
lm7	14	1	1	1	24	24		1
lm8	15	1	1	1	24	24		1
lm9	16	1	1	1	24	24		1
lm10	18	12	24	36	8	8	500	1
lm11	19	12	24	36	8	8	500	1
lm12	21	6	12	24	8	8	500	1
lm13	22	6	12	20	8	8	500	1
lm14	23	6	12	16	8	8	500	1
lm15	24	6	12	12	8	8	500	1
lm16	25	6	6	6	8	8	500	1
lm17	28	10	10	10	10	14	500	1
lm18	29	12	12	12	12	12	500	1
lm19	30	14	14	14	12	12	500	1
lm20	31	16	16	16	12	12	500	1
lm21	34	12	12	12	12	12	500	1
lm22	35	14	14	14	12	12	500	1
lm23	36	16	16	16	12	12	500	1
lm24	37	18	18	18	12	12	500	1
lm25	47	6	6	6	12	12	500	0
lm26	48	16	16	16	12	12	500	0
lm27	49	14	14	14	12	12	500	0
lm28	51	4	4	4	16	16	1000	0
lm29	52	4	4	4	16	16	1000	0
lm30	53	4	4	4	16	16	1000	0
lm31	54	4	4	4	16	16	1000	0
lm32	55	4	4	4	16	16	500	0
lm33	56	6	6	6	16	16	500	0
lm34	57	6	6	6	16	16	500	0
lm35	58	12	12	12	16	16	500	0
lm36	59	4	4	4	16	16	500	0
lm37	60	6	6	6	16	16	500	0
lm38	61	6	6	6	16	16	500	0
lm39	62	18	18	18	10	10	500	0
lm40	63	14	14	14	10	10	500	0
lm41	64	10	10	10	10	10	500	0
lm42	65	10	10	10	12	12	500	0
lm43	66	6	6	6	16	16	500	0
lm44	67	6	6	6	16	16	500	0
lm45	68	6	6	6	16	16	500	0
lm46	69	6	6	6	16	16	500	0
lm47	70	6	6	6	16	16	500	0
lm48	71	6	6	6	16	16	500	0
lm49	72	6	6	6	16	16	500	0
lm50	74	61	61	61	12	12	1000	0
lm51	84	4	4	4	16	16	500	0
lm52	85	4	4	4	16	16	500	0
lm53	86	4	4	4	14	14	500	0
lm54	87	4	4	4	14	14	500	0
lm55	88	4	4	4	14	14	500	0
lm56	89	4	4	4	14	14	500	0
lm57	90	16	16	16	14	14	500	0
lm58	91	4	4	4	14	14	500	0
lm59	92	32	32	32	12	12	800	0
lm60	93	6	6	6	12	12	800	0
lm61	100	10	16	16	12	12	500	0
lm62	101	12	48	48	12	12	500	0
lm63	107	6	6	6	24	24	500	0
Expansion								
lm64	113	10	10	10	16	16	500	0
lm65	115	10	10	10	16	16	500	0
lm66	118	15	15	15	16	16	500	0
lm67	114	1	1	1	64	64	500	0
lm68	116	1	1	1	32	32	500	0
lm69	119	1	1	1	32	32	500	0
lm70	122	4	4	4	40	40	500	0
lm71	123	4	4	4	40	40	500	0
lm72	125	3	3	3	24	24	500	0
lm73	126	3	3	3	24	24	500	0
lm74	127	3	3	3	24	24	500	0
lm75	128	9	9	9	16	16	500	0
lm76	129	9	9	9	16	16	500	0
lm77	130	9	9	9	16	16	500	0
lm78	132	9	9	9	16	16	500	0
lm79	133	12	24	36	8	8	500	0
lm80	135	3	3	3	24	24	500	0
