Name	Type	File	Expansion	CheckAll	BordType	GridSize	Dt1Mask	Prob0	Trials0	Max0	Prob1	Trials1	Max1	Prob2	Trials2	Max2	Prob3	Trials3	Max3	Prob4	Trials4	Max4	Beta
ls0		Act1/Outdoors/BorderCliffs.ds1			1	1																	1
ls1	1	Act1/Outdoors/BorderMiddle.ds1				1																	1
ls2	2	Act1/Outdoors/BorderCorner.ds1			1	1																	1
ls3	3	Act1/Outdoors/BorderBorder.ds1			2	1																	1
ls4	4	Act1/Outdoors/Waypoint.ds1			-1	1	1	100	-1	1	100	-1	1	100	-1	1	100	-1	1	100	-1	1	1
ls5	4	Act1/Outdoors/WaySmall.ds1			-1	1	1	100	-1	1	100	-1	1	100	-1	1	100	-1	1	100	-1	1	1
ls6	5	Act1/Outdoors/ShrineW.ds1			-1	1	1	100	-1	1	100	-1	1	100	-1	1	100	-1	1	100	-1	1	1
ls7	5	Act1/Outdoors/ShrineD.ds1			-1	1	1	100	-1	1	100	-1	1	100	-1	1	100	-1	1	100	-1	1	1
ls8	5	Act1/Outdoors/ShrineF.ds1			-1	1	1	100	-1	1	100	-1	1	100	-1	1	100	-1	1	100	-1	1	1
ls9	5	Act1/Outdoors/ShrineH.ds1			-1	1	1	100	-1	1	100	-1	1	100	-1	1	100	-1	1	100	-1	1	1
ls10	6	Act1/Outdoors/Stone.ds1			-1	1	16385	30	5	2	30	5	2	100	20	12	30	5	2				1
ls11	6	Act1/Outdoors/Trees.ds1			-1	1	3	50	5	2	30	5	2	50	5	2	100	20	12	50	5	2	1
ls12	6	Act1/Outdoors/Pud.ds1			-1	1	262145	90	20	8	30	5	2	20	5	2	20	5	2	50	20	8	1
ls13	6	Act1/Outdoors/Swamp2.ds1			-1	1	4194305													90	5	2	1
ls14	6	Act1/Outdoors/Swamp.ds1			-1	1	4194305	50	5	2							20	5	2	90	10	6	1
ls15	6	Act1/Outdoors/Object.ds1			-1	1	257	20	5	2	20	5	2	20	5	2	20	5	2	20	5	2	1
ls16	7	Act2/Outdoors/Waypoint.ds1			-1	1	1	100	-1	1	100	-1	1	100	-1	1	100	-1	1	100	-1	1	0
ls17	8	Act2/Outdoors/ShrineW.ds1			-1	1	1	100	-1	1	100	-1	1	100	-1	1	100	-1	1	100	-1	1	0
ls18	8	Act2/Outdoors/ShrineH.ds1			-1	1	1	100	-1	1	100	-1	1	100	-1	1	100	-1	1	100	-1	1	0
ls19	8	Act2/Outdoors/ShrineM.ds1			-1	1	1	100	-1	1	100	-1	1	100	-1	1	100	-1	1	100	-1	1	0
ls20	8	Act2/Outdoors/ShrineE.ds1			-1	1	1	100	-1	1	100	-1	1	100	-1	1	100	-1	1	100	-1	1	0
ls21	9	Act2/Outdoors/Dune.ds1			-1	1	4	70	10	1	10	5	1	10	5	1	10	5	1	10	5	1	0
ls22	9	Act2/Outdoors/Rock2.ds1			-1	1	2	80	10	4	80	10	2	10	5	1	10	5	1	10	5	1	0
ls23	9	Act2/Outdoors/Rock.ds1			-1	1	2	80	10	8	80	10	4	10	5	2	10	5	2	10	5	2	0
ls24	9	Act2/Outdoors/Bone.ds1			-1	1	128	80	10	2	10	5	2	10	5	2	10	5	2	10	5	2	0
ls25	9	Act2/Outdoors/Palm.ds1			-1	1	262144	10	5	2	100	10	4	100	10	4	100	10	4	90	10	4	0
ls26	9	Act2/Outdoors/Prickly.ds1			-1	1	524288	10	5	2	10	5	4	90	10	4	10	5	2	90	10	4	0
ls27	9	Act2/Outdoors/Scrub.ds1			-1	1	1048576	10	5	2	10	5	2	90	10	4	90	10	4	10	5	2	0
Expansion																							
ls28	10	Expansion/Siege/Snowpatchlg.ds1	1		-1	1	524305	25	2	1	25	2	1	25	2	1	25	2	1	25	2	1	0
ls29	10	Expansion/Siege/treesandrocks.ds1	1		-1	1	3671091	75	15	5	75	15	5	75	15	5	75	15	5	75	15	5	0
ls30	10	Expansion/Siege/treesandrocksSmall.ds1	1		-1	1	1572865	100	20	6	100	20	6	100	20	6	100	20	6	100	20	6	0
ls31	11	Expansion/Siege/snowpatchlg_inv.ds1	1		-1	1	524305	50	2	1	50	2	1	50	2	1	50	2	1	50	2	1	0
ls32	11	Expansion/Siege/treesandrocksSnow.ds1	1		-1	1	3671091	100	10	6	100	20	6	100	10	6	100	10	6	100	10	6	0
ls33	12	Expansion/Siege/4x3barricade_rules.ds1	1		2	2																	0
