Name	Id	SelectX	SelectY	SelectDX	SelectDY	ExitWalkX	ExitWalkY	OffsetX	OffsetY	LitVersion	Tiles	Direction	Beta
lw0		-90	-100	90	110	5		1	-1	1	2	b	1
lw1	1	-15	-90	90	110		5	3	1	1	2	b	1
lw2	2	-60	-60	85	100	5		-1	1	1	2	b	1
lw3	3	-25	-60	85	100		5	1	-1	1	2	b	1
lw4	4	-30	-120	120	150	3	5	2	5	1	2	b	1
lw5	5	-25	-75	80	100	3	5	1	3	1	2	b	1
lw6	6	-90	-110	110	140	5		5			2	b	1
lw7	7	-70	-90	90	120	5		5	2		2	b	1
lw8	8	-10	-90	60	110		5	5	1	1	2	b	1
lw9	9	-30	-90	60	110	5		1	1	1	2	b	1
lw10	10	-10	-50	150	80	3	5	-4		1	2	b	1
lw11	11	-50	-130	60	140	5	3	4	-2		2	b	1
lw12	12	-50	-90	80	110	5		2	3	1	2	b	1
lw13	13	-50	-110	110	150		5	5	1	1	2	b	1
lw14	14	-40	-80	210	110		5	-1	3	1	2	b	1
lw15	15	-30	-110	85	130		5	3	1	1	2	b	1
lw16	16	-35	-130	90	150		5	7	1	1	2	b	1
lw17	17	-50	-110	110	150		5	5	1	1	2	b	1
lw18	18	-60	-80	210	110		5	-1	3	1	2	b	1
lw19	19	-10	-10			5	5				2	b	0
lw20	20	-25	-95	70	130	5		-2			2	b	0
lw21	21	20	-80	65	140	-5		10	-2		2	b	0
lw22	22	-25	-160	100	180	2	5	5	3	1	2	b	0
lw23	23	-65	-55	150	110		-5			1	2	b	0
lw24	24	-120	-20	150	130	5		5	2		2	b	0
lw25	25	-35	-70	95	130	5	2		-2		2	b	0
lw26	26	-25	-150	80	180		5	4		1	2	b	0
lw27	27	-40	-160	80	180	5			5	1	2	b	0
lw28	28	-20	-40	170	100	-5	5	-3	1	1	2	b	0
lw29	29	-50	-20	160	85	-5		-1	-3	1	2	b	0
lw30	30	-25	-100	60	125		5	2		1	2	b	0
lw31	31	-40	-100	60	125	5			2	1	2	b	0
lw32	32	-30	-30	170	90	-5	5	-3		1	2	b	0
lw33	33	-70	-140	80	160	5		1	1		2	b	0
lw34	34	-50	-120	90	150	5		1	1		2	b	0
lw35	35	-30	-140	80	160		5	6	2		2	b	0
lw36	36		-140	100	150		5	1	2		2	b	0
lw37	37	-30	-140	80	160		5	4	1		2	b	0
lw38	38	-40	-190	90	210	5	5				2	b	0
lw39	39	-40	-210	50	230	5		-1	1		2	b	0
lw40	40	-30	-100	60	140	5			1		2	b	0
lw41	41	-90	-140	70	160	5		-1	-5		2	b	0
lw42	42	-10	-110	60	150		5	-2	-3		2	b	0
lw43	43		-130	90	150		5	-1			2	b	0
lw44	44	-10	-210	70	240		5		-3		2	b	0
lw45	45	-30	-115	75	145		5	2		1	2	b	0
lw46	46	-45	-120	85	145	5			2	1	2	b	0
lw47	47	-10	-60	90	90	5	5	-2	2	1	2	b	0
lw48	48	-20	-70	80	85		5	1		1	2	b	0
lw49	49	-115	-10	160	70		-5	-3	-5	1	2	b	0
lw50	50	-10	-10			5	5				2	b	0
lw51	51	-60	-70	70	90	5			1		2	b	0
lw52	52	10	-100	80	110		5	4	1	1	2	b	0
lw53	53	-15	-70	70	110		5				2	b	0
lw54	54	-130	-10	170	100		-5	-4	-6		2	b	0
lw55	55	-10	-100	90	130		5	3	1	1	2	b	0
lw56	56	-40	-20	170	100	-5		-4	-1	1	2	b	0
lw57	57	-60	-40	120	90		5			1	2	b	0
lw58	58	-75	-110	100	150	5		1	1	1	2	b	0
lw59	59	-25	-110	100	150		5	6	1	1	2	b	0
lw60	60	-10	-10			5	5				2	b	0
lw61	61	-10	-10			5	5				2	b	0
lw62	62	-50	-110	80	140	5		1	2	1	2	b	0
lw63	63	-30	-110	80	140		5	2	1	1	2	b	0
lw64	64	-10	-10			5	5				2	b	0
lw65	65	-65	-150	125	180	5		1		1	2	b	0
lw66	66	-60	-150	125	180		5	5	1	1	2	b	0
lw67	67	-65	-150	125	180	5		1		1	2	b	0
lw68	68	-60	-150	125	180		5	5	1	1	2	b	0
lw69	69	-60	-40	150	160	-5		2	2		2	b	0
lw70	70	-90	-50	160	120	5	2				2	b	0
Expansion													
lw71	71	-70	-80	80	100	5	2	2	6	1	4	l	0
lw72	71	-15	-90	70	100	-1	5	6	2	1	4	r	0
lw73	72	-20	-120	75	100	5	2	2	2	1	4	b	0
lw74	73	-60	-110	90	115	5	2		5	1	2	l	0
lw75	73	-10	-120	100	120	2	5	5	1	1	2	r	0
lw76	74	-60	-110	90	115	5	2		5	1	2	l	0
lw77	74	-20	-110	90	115	2	5	4		1	2	r	0
lw78	75	-5	-110	80	110	2	5	6	3	1	2	b	0
lw79	76		-110	95	100	2	5	2		1	2	b	0
lw80	77		-70	140	80	5	2	-2	3	1	2	b	0
lw81	78	-20	-110	100	110	5	2	3		1	2	b	0
lw82	79	-40	-110			2	5	2	1		2	b	0
lw83	80	-20	-110			2	5	2	1		2	b	0
lw84	81	-70	-110	95	115	5	2	1	4	1	2	l	0
lw85	81	-20	-110	80	115	2	5	4	1	1	2	r	0
lw86	82	-70	-110	95	115	5	2	1	4	1	2	l	0
lw87	82	-20	-110	80	115	2	5	4	1	1	2	r	0
