Name	*comment	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	divide	multiply	add
																																									
Sturdy			1	1	4		3					101	pr5		20	30											armo														
Strong			1	1	9		6					101	pr5		31	40											armo														
Glorious			1	1	19		14					101	pr5		41	50											armo														
Blessed			1	1	25		18					101	pr5		51	65											armo														
Saintly			1	1	31		23					101	pr5		66	80									1	dgld	armo														
Holy			1	1	36		27					101	pr5		81	100									1	dgld	armo														
Devious			1	1	7		5					103	pr6		1	1									1	dblu	shld														
Fortified			1	1	14		10					103	pr6		2	2									1	dblu	shld														
																																									
																																									
																																									
Jagged			1	1	1		1					106	pr29		10	20											weap														
Deadly			1	1	5		3					106	pr29		21	30											weap														
Vicious			1	1	8		6					106	pr29		31	40											weap														
Brutal			1	1	14		10					106	pr29		41	50											weap														
Massive			1	1	20		15					106	pr29		51	65									1	dgld	weap														
Savage			1	1	26		19					106	pr29		66	80									1	dgld	weap							staf	wand						
Merciless			1	1	32		24					106	pr29		81	100									1	dgld	weap							staf	wand						
Vulpine			1	1	9		6					107	pr30		10	10									1	cblu	shld	amul													
																																									
																																									
																																									
																																									
Tireless			1	1	14		10					109	pr61		50	50											boot														
Rugged			1	1	14		10					110	pr63		5	10											boot	glov	belt	ring	amul										
Bronze			1	1	1		1					111	pr15		10	20											weap	ring	glov	amul											
Iron			1	1	4		3					111	pr15		21	40											weap	ring													
Steel			1	1	8		6					111	pr15		41	60											weap	ring													
Silver			1	1	12		9					111	pr15		61	80											weap	ring													
																																									
Gold			1	1	17		12					111	pr15		81	100									1	lgld	weap														
Platinum			1	1	22		16					111	pr15		101	120									1	lgld	weap	ring													
Meteoric			1	1	27		20					111	pr15		121	150									1	lgld	weap	ring						staf	wand						
Sharp			1	1	5		3					112	pr15		10	20	pr29		10	20							weap														
Fine			1	1	9		6					112	pr15		21	40	pr29		21	30							weap														
Warrior's			1	1	15		11					112	pr15		41	60	pr29		31	40							weap														
Soldier's			1	1	21		15					112	pr15		61	80	pr29		41	50							weap														
Knight's			1	1	25		18					112	pr15		81	100	pr29		51	65					1	dgld	weap														
Lord's			1	1	30		22					112	pr15		101	120	pr29		66	80					1	dgld	weap							staf	wand						
King's			1	1	35		26					112	pr15		121	150	pr29		81	100					1	dgld	weap							staf	wand						
Howling			1	1	16		12					113	pr90		128	128									1	oran	weap							miss							
Fortuitous			1	1	5		3					114	pr59		10	15											ring	amul													
																																									
																																									
																																									
																																									
																																									
Glimmering			1	1	1		1					116	pr73		1	1											armo	wand	staf	ring	amul										
Glowing			1	1	6		4					116	pr73		2	2									1	lyel	armo	wand	staf	ring	amul										
																																									
																																									
Lizard's			1	1	3		2					118	pr11		1	5											armo	ring	amul	rod				boot	glov						
																																									
Snake's			1	1	6		4					118	pr11		5	10											shld	rod	belt	ring	amul										
Serpent's			1	1	14		10					118	pr11		11	20											shld	rod	belt	ring	amul										
Serpent's			1	1	37		27					118	pr11		11	20											tors	helm	boot	glov	mele			h2h	rod						
Drake's			1	1	20		15					118	pr11		21	30									1	cblu	rod	ring	amul	belt											
Dragon's			1	1	24		18					118	pr11		31	40									1	cblu	rod	ring	amul												
Dragon's			1	1	52		39					118	pr11		31	40									1	cblu	tors	helm	boot	glov											
Wyrm's			1	1	30		22					118	pr11		41	60									1	cblu	rod	ring	amul												
																																									
																																									
Prismatic			1	1	27		20					120	pr41		15	25									1	lpur	amul														
Prismatic			1	1	62		46					120	pr41		15	15									1	lpur	ring														
Azure			1	1	5		3					121	pr35		5	10											armo	rod	miss	ring	amul										
Lapis			1	1	12		9					121	pr35		11	20											armo	ring	amul	rod											
Lapis			1	1	35		26					121	pr35		11	20											weap	glov						rod							
Cobalt			1	1	18		13					121	pr35		21	30											armo	ring	amul	rod				glov							
Cobalt			1	1	55		41					121	pr35		21	30											weap	glov						rod							
																																									
Sapphire			1	1	25		18					121	pr35		31	50									1	lblu	rod	boot	ring	amul	miss			scep							
																																									
																																									
Crimson			1	1	5		3					122	pr31		5	10											armo	rod	miss	ring	amul	amul									
Burgundy			1	1	12		9					122	pr31		11	20											armo	rod	ring	amul	amul										
Burgundy			1	1	35		26					122	pr31		11	20											weap							rod							
Garnet			1	1	18		13					122	pr31		21	30											armo	rod	ring	amul				glov							
Garnet			1	1	55		41					122	pr31		21	30											weap	glov						rod							
																																									
Ruby			1	1	25		18					122	pr31		31	50									1	lred	wand	staf	boot	ring	amul										
																																									
																																									
Ocher			1	1	5		3					123	pr33		5	10											armo	rod	ring	amul	miss										
Tangerine			1	1	12		9					123	pr33		11	20											armo	ring	amul	rod											
Tangerine			1	1	35		26					123	pr33		11	20											weap							rod							
Coral			1	1	18		13					123	pr33		21	30											armo	ring	amul	rod				glov							
Coral			1	1	55		41					123	pr33		21	30											weap	glov						rod							
																																									
Amber			1	1	25		18					123	pr33		31	50									1	lyel	armo	ring	amul	staf	wand			shld	glov						
																																									
																																									
Beryl			1	1	5		3					124	pr39		5	10											armo	ring	amul	scep	staf	miss									
Jade			1	1	12		9					124	pr39		11	20											armo	ring	amul	scep	staf										
Jade			1	1	35		26					124	pr39		11	20											weap	ring						staf	scep						
Viridian			1	1	18		13					124	pr39		21	30											tors	helm	shld	scep	staf	ring	amul								
Viridian			1	1	55		41					124	pr39		21	30											weap	boot	glov	belt				staf	scep						
																																									
Emerald			1	1	25		18					124	pr39		31	50									1	lgrn	scep	ring	amul												
																																									
Fletcher's			1	1	30		22					125	pr67		1	1											miss	amul													
Archer's			1	1	40		30					125	pr67		2	2									1	cgrn	miss														
Archer's			1	1	90		67					125	pr67		2	2									1	cgrn	amul														
Monk's			1	1	30		22					126	pr68		1	1											scep	amul													
Priest's			1	1	40		30					126	pr68		2	2									1	cgrn	scep														
Priest's			1	1	90		67					126	pr68		2	2									1	cgrn	amul														
Summoner's			1	1	30		22					127	pr69		1	1											wand	amul													
Necromancer's			1	1	40		30					127	pr69		2	2									1	cgrn	wand														
Necromancer's			1	1	90		67					127	pr69		2	2									1	cgrn	amul														
Angel's			1	1	30		22					128	pr70		1	1											staf	amul													
Arch-Angel's			1	1	40		30					128	pr70		2	2									1	cgrn	staf														
Arch-Angel's			1	1	90		67					128	pr70		2	2									1	cgrn	amul														
Slayer's			1	1	30		22					129	pr71		1	1											mele	amul						rod	h2h						
Berserker's			1	1	40		30					129	pr71		2	2									1	cgrn	mele							rod	h2h						
Berserker's			1	1	90		67					129	pr71		2	2									1	cgrn	amul														
																																									
																																									
Triumphant			1	1	3		2					132	pr110		1	1											mele	ring													
Expansion																																									
Stout		100	1	1	1		1				4	101	pr0		3	5											lcha														
Stout		100	1	1	7		5				4	101	pr0		6	9											lcha														
Stout		100	1	1	12		9				4	101	pr0		10	12											lcha														
Burly		100	1	1	17		12				4	101	pr0		13	15											lcha														
Burly		100	1	1	22		16				4	101	pr0		16	22											lcha														
Burly		100	1	1	27		20				4	101	pr0		23	30											lcha														
Stalwart		100	1		32		24				4	101	pr0		33	40											lcha														
Stalwart		100	1		37		29				4	101	pr0		44	50											lcha														
Stalwart		100	1		42		34				4	101	pr0		60	100											lcha														
Stout		100	1	1	1		1				4	101	pr0		2	3											mcha														
Stout		100	1	1	14		10				4	101	pr0		4	6											mcha														
Stout		100	1	1	20		15				4	101	pr0		8	12											mcha														
Burly		100	1	1	26		19				4	101	pr0		13	18											mcha														
Burly		100	1	1	32		24				4	101	pr0		20	30											mcha														
Stalwart		100	1		38		30				4	101	pr0		30	40											mcha														
Stalwart		100	1		45		37				4	101	pr0		45	60											mcha														
Stout		100	1	1	1		1				4	101	pr0		1	1											scha														
Stout		100	1	1	21		15				4	101	pr0		4	8											scha														
Burly		100	1	1	36		28				4	101	pr0		15	20											scha														
Stalwart		100	1		48		40				4	101	pr0		20	30											scha														
Blanched		100	1	1	1		1				4	101	pr0		5	8									1	whit	jewl														
Eburin		100	1	1	16		12				4	101	pr0		9	20									1	whit	jewl														
Bone		100	1	1	32		24				4	101	pr0		21	40									1	whit	jewl														
Ivory		100	1		64		56				4	101	pr0		41	64									1	whit	jewl														
Sturdy		1	1	1	1		1				9	101	pr5		10	20											armo														
Sturdy		1	1	1	4		3				9	101	pr5		21	30											armo														
Strong		1	1	1	9		6				8	101	pr5		31	40											armo														
Glorious		1	1	1	19		14				8	101	pr5		41	50											armo														
Blessed		1	1	1	25		18				7	101	pr5		51	65											armo														
Saintly		1	1	1	31		23				7	101	pr5		66	80									1	dgld	armo														
Holy		1	1	1	36		27				6	101	pr5		81	100									1	dgld	armo														
Godly		100	1		45		38				3	101	pr5		101	200									1	dgld	armo														
Devious		1		1	7		5				5	102	pr6		1	1											shld	circ	orb	wand	staf										
Blank		1		1	14		10				4	102	pr6		2	2											shld	circ	orb	wand	staf										
Null		100		1	21		16				4	102	pr6		3	5									1	dblu	shld	circ													
Antimagic		100			28		21				4	102	pr6		6	10									1	dblu	shld	circ													
