Name	*comment	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	divide	multiply	add
l			1	1	7		5					1	pr3		1	1											tors	helm	shld	ring	amul										
of Protection			1	1	18		13					1	pr3		2	2											ring	amul													
of Absorption			1	1	26		19					1	pr3		3	3											amul														
of Life			1	1	35		26					1	pr3		4	4									1	dblu	amul														
			1																																						
of Warding			1	1	7		5					2	pr6		1	1											tors	helm	shld	ring	amul										
of the Sentinel			1	1	18		13					2	pr6		2	2											ring	amul													
of Guarding			1	1	26		19					2	pr6		3	3											amul														
of Negation			1	1	35		26					2	pr6		4	4											amul														
																																									
of Piercing			1	1	25		18					3	pr92		1	1											rod														
of Bashing			1	1	16		12					4	pr97		-25	-40											mele							wand	staf						
of Puncturing			1	1	6		4					4	pr97		-10	-20											mele							wand	staf						
of Thorns			1	1	14		10					5	pr54		1	3											tors	helm	shld	belt											
of Spikes			1	1	21		15					5	pr54		2	6									1	oran	tors	helm	shld	belt											
of Readiness			1	1	1		1					6	pr55		10	10											weap	glov													
of Alacrity			1	1	8		6					6	pr56		20	20											weap														
of Swiftness			1	1	19		14					6	pr56		30	30											mele							wand	staf						
of Quickness			1	1	25		18					6	pr57		40	40									1	dyel	mele							wand	staf						
of Blocking			1	1	1		1					7	pr16		10	10											shld														
of Deflecting			1	1	11		8					7	pr16		20	20											shld														
of the Apprentice			1	1	5		3					8	pr85		10	10											rod	ring	amul												
of the Magus			1	1	17		12					8	pr87		20	20											rod														
of Frost			1	1	4		3					9	pr17		1	1	pr18		1	4	pr19		125	125			weap														
of the Glacier			1	1	18		13					9	pr17		4	4	pr18		4	12	pr19		150	150			mele														
of Frost			1	1	55		41					9	pr17		1	1	pr18		1	4	pr19		125	125			belt	amul													
of Warmth			1	1	10		7					10	pr95		1	1											shld	boot	glov	ring	amul										
of Flame			1	1	4		3					11	pr20		1	1	pr21		2	6							weap														
of Fire			1	1	15		11					11	pr20		2	2	pr21		6	11							weap														
of Burning			1	1	25		18					11	pr20		10	10	pr21		10	20					1	dred	weap														
of Flame			1	1	40		30					11	pr20		1	1	pr21		2	6							glov	ring	amul												
of Shock			1	1	4		3					12	pr22		1	1	pr23		8	8							weap														
of Lightning			1	1	15		11					12	pr22		1	1	pr23		16	16							weap														
of Thunder			1	1	25		18					12	pr22		1	1	pr23		32	32					1	dyel	weap														
of Shock			1	1	50		37					12	pr22		1	1	pr23		8	8							boot	ring	amul	weap				miss	rod						
of Craftsmanship			1	1	1		1					13	pr28		1	2											weap	ring	amul												
of Quality			1	1	4		3					13	pr28		2	2											weap														
of Maiming			1	1	7		5					13	pr28		3	4											weap														
of Slaying			1	1	11		8					13	pr28		5	7											weap														
of Gore			1	1	14		10					13	pr28		8	10											weap														
of Carnage			1	1	19		14					13	pr28		11	14									1	blac	weap							wand	staf						
of Slaughter			1	1	25		18					13	pr28		15	20									1	blac	weap							wand	staf						
of Maiming			1	1	42		31					13	pr28		3	4											shld	ring	amul												
of Worth			1	1	2		1					14	pr27		1	1											weap							rod							
of Measure			1	1	6		4					14	pr27		2	2											weap														
of Excellence			1	1	12		9					14	pr27		3	3											weap	ring	amul												
of Performance			1	1	18		13					14	pr27		4	5									1	blac	weap														
of Measure			1	1	37		27					14	pr27		2	2											tors	helm	ring	amul											
of Blight			1	1	5		3					15	pr24		8	8	pr25		24	24	pr26		75	75			weap							scep							
of Venom			1	1	15		11					15	pr24		16	16	pr25		48	48	pr26		75	75			weap							scep							
of Pestilence			1	1	25		18					15	pr24		32	32	pr25		72	72	pr26		100	100	1	dgrn	weap							scep							
of Blight			1	1	45		33					15	pr24		8	8	pr25		24	24	pr26		75	75			ring	amul													
of Dexterity			1	1	4		3					16	pr8		1	1											ring	amul													
of Dexterity			1	1	5		3					16	pr8		1	3											scep	miss	boot	glov	ring	amul									
of Skill			1	1	10		7					16	pr8		4	6											scep	miss	boot	glov	ring	amul									
of Skill			1	1	45		33					16	pr8		4	6											armo							boot	glov						
of Accuracy			1	1	18		13					16	pr8		7	10											scep	miss	boot	glov	ring	amul									
of Precision			1	1	22		16					16	pr8		11	15											scep	miss	amul												
of Precision			1	1	60		45					16	pr8		11	15											armo	ring													
of Perfection			1	1	30		22					16	pr8		16	20									1	dgld	miss	glov	amul												
of Balance			1	1	5		3					17	pr79		10	10											armo							glov							
of Stability			1	1	9		6					17	pr81		20	20									1	dyel	armo							glov							
																																									
of Regeneration			1	1	10		7					19	pr53		3	3											scep	belt	ring	amul											
of Regeneration			1	1	40		30					19	pr53		3	3											shld	glov													
of Regeneration			1	1	70		52					19	pr53		3	3											tors	helm	weap	boot				scep							
of Regrowth			1	1	17		12					19	pr53		5	5									1	cred	scep	amul													
of Regrowth			1	1	55		41					19	pr53		5	5									1	cred	belt	ring													
of Vileness			1	1	9		6					20	pr94		1	1											mele							scep							
																																									
of Greed			1	1	2		1					22	pr58		40	60											ring	amul													
of Wealth			1	1	17		12					22	pr58		80	120									1	lgld	boot	glov	belt	amul											
of Chance			1	1	12		9					23	pr59		10	19											ring	amul													
of Fortune			1	1	16		12					23	pr59		20	35									1	lgld	boot	glov	amul												
of Energy			1	1	4		3					24	pr11		1	1											ring	amul													
of Energy			1	1	5		3					24	pr11		1	5											rod	ring	amul												
of the Mind			1	1	10		7					24	pr11		6	10											rod	ring	amul												
of Brilliance			1	1	18		13					24	pr11		11	15											rod	ring	amul												
of Sorcery			1	1	22		16					24	pr11		16	20									1	dgld	rod	amul													
of Wizardry			1	1	30		22					24	pr11		21	30									1	dgld	rod	ring	amul												
of the Bear			1	1	8		6					25	pr60		1	1											mele														
of Light			1	1	6		4					26	pr73		1	1											armo	rod	miss	ring	amul										
of Radiance			1	1	15		11					26	pr73		3	3											rod	miss	ring	amul											
of the Sun			1	1	17		12					26	pr73		5	5											rod	miss	glov	ring	amul										
of Life			1	1	23		17					27	pr13		5	5											tors	helm	shld	belt	amul										
of the Jackal			1	1	3		2					27	pr13		1	5											armo	rod	ring	amul											
of the Fox			1	1	6		4					27	pr13		5	10											armo	rod	ring	amul											
of the Wolf			1	1	14		10					27	pr13		11	20											armo	rod	ring	amul											
of the Wolf			1	1	45		33					27	pr13		11	20											weap							rod							
of the Tiger			1	1	20		15					27	pr13		21	30											armo	ring	amul												
of the Mammoth			1	1	24		18					27	pr13		31	40									1	cred	tors	helm	shld	ring	amul										
of the Mammoth			1	1	60		45					27	pr13		31	40									1	cred	mele	glov	belt					rod							
of the Colosuss			1	1	30		22					27	pr13		41	60									1	cred	tors	helm	shld	belt	amul										
of the Leech			1	1	6		4					28	pr66		4	7											weap	ring	amul												
of the Locust			1	1	20		15					28	pr66		8	10									1	cred	mele														
of the Bat			1	1	6		4					29	pr65		4	8											weap	ring	amul												
