name	version	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	add	multiply	divide
Beast		armo	weap	misc	map								0	0	0
Eagle		armo	weap	misc	map								0	0	0
Raven		armo	weap	misc	map								0	0	0
Viper		armo	weap	misc	map								0	0	0
GhoulRI		armo	weap	misc	map								0	0	0
Skull		armo	weap	misc	map								0	0	0
Blood		armo	weap	misc	map								0	0	0
Dread		armo	weap	misc	map								0	0	0
Doom		armo	weap	misc	map								0	0	0
Grim		armo	weap	misc	map								0	0	0
Bone		armo	weap	misc	map								0	0	0
Death		armo	weap	misc	map								0	0	0
Shadow		armo	weap	misc	map								0	0	0
Storm		armo	weap	misc	map								0	0	0
Rune		armo	weap	misc	map								0	0	0
PlagueRI		armo	weap	misc	map								0	0	0
Stone		armo	weap	misc	map								0	0	0
Wraithra		armo	weap	misc	map								0	0	0
Spirit		armo	rod										0	0	0
Storm		armo	weap										0	0	0
Demon		armo	weap										0	0	0
Cruel		armo	weap										0	0	0
Empyrion		rod											0	0	0
Bramble		armo	weap										0	0	0
Pain		armo	weap										0	0	0
Loath		armo	weap										0	0	0
Glyph		armo	weap										0	0	0
Imp		armo	weap										0	0	0
Fiendra		armo	weap										0	0	0
Hailstone		armo	weap										0	0	0
Gale		armo	weap										0	0	0
Dire		armo	weap										0	0	0
Soul		armo	weap										0	0	0
Brimstone		armo	weap										0	0	0
Corpse		armo	weap										0	0	0
Carrion		armo	weap										0	0	0
Holocaust		tors	helm	shld	swor	axe							0	0	0
Havoc		armo	weap	misc									0	0	0
Bitter		armo	weap	misc									0	0	0
Entropy		ring	amul										0	0	0
Chaos		ring	amul										0	0	0
Order		ring	amul	scep									0	0	0
Rule		rod											0	0	0
Warp													0	0	0
Rift													0	0	0
Corruption		ring	amul										0	0	0
