name	version	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	add	multiply	divide
bite		swor	knif	spea	pole	axe	h2h						0	0	0
scratch		swor	knif	spea	pole	h2h							0	0	0
scalpel		swor	knif										0	0	0
fang		swor	knif	spea	pole								0	0	0
gutter		swor	knif	spea	pole								0	0	0
thirst		swor	knif	spea	pole	axe	h2h						0	0	0
razor		swor	knif	axe	h2h								0	0	0
scythe		swor	axe	pole									0	0	0
edge		swor	knif	axe									0	0	0
saw		swor											0	0	0
splitter		axe	mace	club	hamm								0	0	0
cleaver		swor	axe										0	0	0
sever		swor	axe										0	0	0
sunder		axe											0	0	0
rend		axe											0	0	0
mangler		axe	mace	club	hamm								0	0	0
slayer		axe											0	0	0
reaver		axe											0	0	0
spawn		axe	hamm										0	0	0
gnash		axe	club	hamm									0	0	0
star		mace	hamm	scep	wand								0	0	0
blow		mace	club	hamm	scep								0	0	0
smasher		mace	club	hamm	scep								0	0	0
Bane		mace	scep	wand									0	0	0
crusher		mace	club	hamm	scep								0	0	0
breaker		mace	club	hamm	scep								0	0	0
grinder		mace	club	hamm	scep								0	0	0
crack		mace	club	hamm	scep	wand							0	0	0
mallet		hamm	club										0	0	0
knell		mace	club	scep	wand								0	0	0
lance		spea	pole										0	0	0
spike		swor	knif	spea	pole								0	0	0
impaler		swor	knif	spea	pole								0	0	0
skewer		swor	knif	spea									0	0	0
prod		spea	pole										0	0	0
scourge		spea	pole										0	0	0
wand		wand											0	0	0
wrack		spea	pole										0	0	0
barb		swor	knif	axe	spea	pole	h2h						0	0	0
needle		swor	knif	spea	miss								0	0	0
dart		spea	miss										0	0	0
bolt		miss	jave										0	0	0
quarrel		miss											0	0	0
fletch		miss											0	0	0
flight		miss	jave										0	0	0
nock		miss											0	0	0
horn		helm	miss	knif									0	0	0
stinger		swor	knif	spea	miss								0	0	0
quill		knif	miss										0	0	0
goad		spea	pole	staf									0	0	0
branch		spea	staf	bow									0	0	0
spire		staf											0	0	0
song		weap											0	0	0
call		rod											0	0	0
cry		rod											0	0	0
spell		rod											0	0	0
chant		rod											0	0	0
weaver		rod											0	0	0
gnarl		club	wand	staf									0	0	0
visage		helm	map										0	0	0
crest		helm	map										0	0	0
circlet		helm	map										0	0	0
veil		helm	map										0	0	0
hood		helm	map										0	0	0
mask		helm	map										0	0	0
brow		helm	map										0	0	0
casque		helm	map										0	0	0
visor		helm	map										0	0	0
cowl		helm	map										0	0	0
hide		tors											0	0	0
Pelt		tors											0	0	0
carapace		tors											0	0	0
coat		tors											0	0	0
wrap		tors											0	0	0
suit		tors											0	0	0
cloak		tors											0	0	0
shroud		tors											0	0	0
jack		tors											0	0	0
mantle		tors											0	0	0
guard		shld											0	0	0
badge		shld											0	0	0
rock		shld											0	0	0
aegis		shld											0	0	0
ward		shld											0	0	0
tower		shld											0	0	0
shield		shld											0	0	0
wing		shld	amul										0	0	0
mark		shld	amul										0	0	0
emblem		shld	amul										0	0	0
hand		glov											0	0	0
fist		glov	h2h										0	0	0
claw		glov	h2h										0	0	0
clutches		glov											0	0	0
grip		glov	ring										0	0	0
grasp		glov	ring										0	0	0
hold		glov	ring										0	0	0
touch		glov	ring										0	0	0
finger		glov	ring										0	0	0
knuckle		glov											0	0	0
shank		boot											0	0	0
spur		boot											0	0	0
tread		boot											0	0	0
stalker		boot											0	0	0
greave		boot											0	0	0
blazer		boot											0	0	0
nails		boot	spea	pole									0	0	0
trample		boot											0	0	0
Brogues		boot											0	0	0
track		boot											0	0	0
slippers		boot											0	0	0
clasp		belt	amul										1	1	1
buckle		belt											1	1	1
harness		belt											1	1	1
lock		belt											1	1	1
fringe		belt											1	1	1
winding		belt											1	1	1
chain		belt											1	1	1
strap		belt											1	1	1
lash		belt											1	1	1
cord		belt											1	1	1
knot		ring											0	0	0
circle		ring											0	0	0
loop		ring											0	0	0
eye		misc											0	0	0
turn		ring											0	0	0
spiral		ring											0	0	0
coil		ring											0	0	0
gyre		ring	orb	jewl									0	0	0
band		ring											0	0	0
whorl		ring	orb	jewl									0	0	0
talisman		amul	jewl										0	0	0
heart		amul	orb	jewl									0	0	0
noose		amul											0	0	0
necklace		amul											0	0	0
collar		amul											0	0	0
beads		amul											0	0	0
torc		amul											0	0	0
gorget		amul											0	0	0
scarab		amul	jewl										0	0	0
wood		spea	pole	wand	staf								0	0	0
brand		blun											0	0	0
bludgeon		blun											0	0	0
cudgel		club	wand										0	0	0
loom		miss											0	0	0
harp		miss											0	0	0
master		ring											0	0	0
barRI		blun	spea	pole									0	0	0
hew		swor	knif	axe									0	0	0
crook		staf											0	0	0
mar		swor	knif	mace	club	hamm	spea						0	0	0
shell		tors	helm	shld									0	0	0
stake		spea	pole										0	0	0
picket		spea	pole										0	0	0
pale		spea	pole										0	0	0
flange		tors	mace	hamm	scep								0	0	0
