name	version	compactsave	rarity	spawnable	minac	maxac	absorbs	speed	reqstr	block	durability	nodurability	level	levelreq	cost	gamble cost	code	namestr	magic lvl	auto prefix	alternategfx	OpenBetaGfx	normcode	ubercode	ultracode	spelloffset	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	throwable	stackable	minstack	maxstack	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HraltiMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	nameable
cap 			1	1	3	5					12		1		64	3016	cap	cap			cap	cap	cap	xap	uap	0		2	2	1	2	1	flpcap	invcap	invcapu	invcapu								0				helm		so212	12	so212			5	0					3							1	1	1	1	1	5		1		1	1					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			8	8		skp	ghm	0	0	1
skp 			4	1	8	11			15		18		5		441	5551	skp	skp			skp	skp	skp	xkp	ukp	0		2	2	1	2	1	flpskp	invskp										0				helm		so223	12	so223			5	0					3							3	1	1	1	1	10		1		1	1					255					255					255					255					255					255					255	1	2	1	1	1					255					255					255					255					255					255					255			2	8		hlm	crn	0	0	1
hlm 			4	1	15	18			26		24		11		1558	12284	hlm	hlm			hlm	hlm	hlm	xlm	ulm	0		2	2	1	2	1	flphlm	invhlm	invhlmu	invhlmu								0				helm		so223	12	so223			5	0					3							3					255		1		1	1					255	1	2	1	1	1					255					255					255					255					255					255				1	1				1	1					255					255					255					255					255			2	8		fhl	ghm	0	0	1
fhl 			4	1	23	26			41		30		15		3095	21606	fhl	fhl			fhl	hlm	fhl	xhl	uhl	0		2	2	1	2	1	flpfhl	invfhl	invfhlu	invfhlu								0				helm		so223	12	so223			5	0					3							3					255					255					255	1	1		1	1					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					255					255					255					255				8		ghm	xxx	0	0	1
ghm 			4	1	30	35			63		40		23		6177	49517	ghm	ghm			ghm	hlm	ghm	xhm	uhm	0		2	2	1	3	1	flpghm	invghm										0				helm		so223	12	so223			5	0					3							3					255					255					255					255					255					255	2	2	1	1	1					255					255					255	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20					1		1	1	1	20					255					255			7	8		crn	xxx	0	0	1
crn 			4	1	25	45			55		50		29		8345	77501	crn	crn			crn	hlm	crn	xrn	urn	0		2	2	1	3	1	flpcrn	invcrn										0				helm		so223	12	so223			5	0					3							3					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255	1	1	1	1	20				1	1		1	1	1	20					255					255			2	8		xxx	xxx	0	0	1
msk 			4	1	9	27			23		20		19		2857	25570	msk	msk			msk	hlm	msk	xsk	usk	0		2	2	1	3	1	flpmsk	invmsk										0				helm		so223	12	so223			5	0					3							3					255					255					255					255					255					255					255					255		1		1	1					255					255					255					255				1	1					255					255					255			1	2		xxx	xxx	0	0	1
qui 			1	1	8	11			12		20		1		140	3035	qui	qui			qlt	qlt	qui	xui	uui	0	1	2	3	1	2	1	flpqlt	invqlt							1	1		0				tors		so230	12	so230			5	0					2							1	1	1	1	1	5		1		1	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			7	8		lea	gth	0	0	1
lea 			2	1	14	17			15		24		3		481	4360	lea	lea			lea	lea	lea	xea	uea	0	1	2	3	1	2	1	flplea	invlea					1		1	1		0				tors		so230	12	so230			5	0					2							1	1	1	1	1	10		1		1	1					255					255					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255			7	8		hla	ful	0	0	1
hla 			3	1	21	24			20		28		5		1060	6325	hla	hla			hla	hla	hla	xla	ula	0	1	2	3	1	2	1	flphla	invhla			1	1	1		1	1		0				tors		so230	12	so230			5	0					2							1	1	1	1	1	15		1		1	1					255					255					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255			7	8		stu	aar	0	0	1
stu 			4	1	32	35			27		32		8		2385	11270	stu	stu			stu	stu	stu	xtu	utu	0	1	2	3	1	2	1	flpstu	invstu			1			1	1	1		0				tors		so230	12	so230			5	0					2							1	1	1	1	1	20		1		1	1					255					255					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255			7	8		rng	ltp	0	0	1
rng 			4	1	45	48			36		26		11		4428	20177	rng	rng			rng	rng	rng	xng	ung	0	1	2	3	1	3	1	flprng	invrng					1	1	1	1		0				tors		so213	12	so213			5	0					2							3		1		1	255					255					255	1	1		1	1					255					255					255					255					255		1		1	1					255					255					255					255					255					255					255			7	8		scl	chn	0	0	1
scl 			4	1	57	60			44		36		13		6508	30151	scl	scl			scl	scl	scl	xcl	ucl	0	1	2	3	1	2	1	flpscl	invscl			1	1	1	1	1	1		0				tors		so213	12	so213			5	0					2							3					255					255					255	1	1		1	1					255					255					255					255					255					255				1	1				1	1					255					255					255					255					255			7	8		chn	brs	0	0	1
chn 			4	1	72	75			48		45		15		9360	45100	chn	chn			chn	chn	chn	xhn	uhn	0	1	2	3	1	2	1	flpchn	invchn			1	1	1	1	2	2		0				tors		so213	12	so213			5	0					2							3					255					255					255	1	1		1	1					255					255		1		1	1					255					255					255	1	1	1	1	1	1	1	1	1	1					255				1	1					255					255					255			7	8		brs	spl	0	0	1
brs 			4	1	65	68	1		30		50		18		10078	56851	brs	brs			brs	brs	brs	xrs	urs	0	1	2	3	1	3	1	flpbrs	invbrs					2		2	2		0				tors		so236	12	so236			5	0					2							3					255					255					255		1		1	1					255					255	1	1		1	1					255					255					255	1	1	1	1	1	1	1	1	1	1					255	1	1		1	1					255					255					255			7	8		spl	plt	0	0	1
spl 			4	1	90	95			51		30		20		15489	89945	spl	spl			spl	spl	spl	xpl	upl	0	1	2	3	1	2	1	flpspl	invspl			1	1	2	1	1	1		0				tors		so236	12	so236			5	0					2							3					255					255					255		1			1					255					255	1	1	1	1	1					255					255					255	1	1		1	1	1	1		1	1					255	1	1		1	1			1	1	20					255					255			7	8		plt	fld	0	0	1
plt 			4	1	108	116			65		60		24		22335	148510	plt	plt			plt	plt	plt	xlt	ult	0	1	2	3	1	2	1	flpplt	invplt			2	2	2	2	1	1		0				tors		so236	12	so236			5	0					2							3					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255			1	1	20	1	1	1	1	1			1	1	20					255					255			8	8		fld	xxx	0	0	1
fld 			4	1	101	105	2		55		48		28		23841	183387	fld	fld			fld	fld	fld	xld	uld	0	1	2	3	1	2	1	flpfld	invfld			1	1	2	2	2	2		0				tors		so236	12	so236			5	0					2							3					255					255					255					255					255					255		1			1					255					255					255					255					255	1	1	1	1	20					1			1	2	20					255					255			8	8		gth	ful	0	0	1
gth 			4	1	128	135			70		55		32		34646	295668	gth	gth			gth	gth	gth	xth	uth	0	1	2	3	1	4	1	flpgth	invgth			2	2	1	2	2	2		0				tors		so236	12	so236			5	0					2							3					255					255					255					255					255					255					1					255				1	1					255					255					255	1	1	1	1	20					1	1	1	1	2	20					255					255			8	8		ful	xxx	0	0	1
ful 			4	1	150	161	2		80		70		37		47192	457526	ful	ful			ful	ful	ful	xul	uul	0	1	2	3	1	4	1	flpful	invful	invfulu	invfulu	2	2	2	2	2	2		0				tors		so236	12	so236			5	0					2							3					255					255					255					255					255					255					1					255					255					255					255					255			1	1	20					1	1	1	1	2	20					255					255			8	8		aar	xxx	0	0	1
aar 			4	1	218	233	5		100		60		40		73864	761140	aar	aar			aar	aar	aar	xar	uar	0	1	2	3	1	4	1	flpaar	invaar	invaaru	invaaru	1	2	2	2	2			0				tors		so236	12	so236			5	0					2							3					255					255					255					255					255					255					255					255					255					255					255					255			1	1	20					255	1	1	1	2	20					255		1	1	2	20			8	8		ltp	xxx	0	0	1
ltp 			4	1	90	107	1		41		60		35		28327	267861	ltp	ltp			ltp	ltp	ltp	xtp	utp	0	1	2	3	1	3	1	flpltp	invltp			2		1	1	2	2		0				tors		so236	12	so236			5	0					2							3					255					255					255					255					255					255					255					255					255					255					255					255			1	1	20		1			255			1	2	20					255		1	1	1	20			7	8		buc	xxx	0	0	1
buc 			2	1	4	6			12		12		1		68	3017	buc	buc			buc	buc	buc	xuc	uuc	0	7	2	2	1	1	2	flpbuc	invbuc	invbucu	invbucu								0				shie		so249	12	so249			5	0					1		1	3	100			3	1	1	1	1	3		1		1	1					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			8	8		sml	tow	0	0	1
sml 			3	1	8	10			22	5	16		5		410	5512	sml	sml			buc	buc	sml	xml	uml	0	7	2	2	1	2	2	flpsml	invsml	invsmlu	invsmlu								0				shie		so249	12	so249			5	0					1		2	3	100			3	1	1	1	1	5		1		1	1					255					255					255					255					255					255					255	1	2	1	1	1				1	1				1	1					255					255					255					255					255			8	5		lrg	kit	0	0	1
lrg 			4	1	12	14			34	12	24		11		1214	11338	lrg	lrg			lrg	buc	lrg	xrg	urg	0	7	2	3	1	3	2	flplrg	invlrg	invlrgu	invlrgu								0				shie		so231	12	so231			5	0					1		2	4	100			3		1		1	10		1		1	1					255	1	1	1	1	1					255					255					255					255					255					255	1	1	1	1	1	1	1	1	1	1					255	1	1			255					255					255					255			8	2		kit	tow	0	0	1
kit 			4	1	16	18			47	8	30		15		2129	17983	kit	kit			kit	buc	kit	xit	uit	0	7	2	3	1	3	2	flpkit	invkit	invkitu	invkitu								0				shie		so231	12	so231			5	0					1		2	5	100			3					255					255					255	1	1		1	1					255					255	1	1	1	1	1					255					255					255	1	1		1	1	1	1		1	1					255	1	1	1	1	1					255					255					255			8	2		tow	gts	0	0	1
tow 			4	1	22	25	1		75	24	60		22		4249	36869	tow	tow			tow	buc	tow	xow	uow	0	7	2	3	1	3	2	flptow	invtow	invtowu	invtowu								0				shie		so231	12	so231			5	0					1		1	5	100			3					255					255					255		1			1					255					255	1	2	1	1	1					255					255					255					255					255	1	1	1	1	20	1	1			1	1	1	1	2	20					255					20			8	2		gts	xxx	0	0	1
gts 			4	1	30	35			60	16	40		30		8000	77500	gts	gts			kit	buc	gts	xts	uts	0	7	2	4	1	3	2	flpgts	invgts	invgtsu	invgtsu								0				shie		so231	12	so231			5	0					1		2	6	100			3					255					255					255					255					255					255		1			1					255					255					255					255					255	1	1	1	1	20					1			1	2	20					255			1	1	20			8	2		xxx	xxx	0	0	1
