component	code
nil 	nil
lit 	lit
med 	med
hev 	hev
hvy 	hvy
des 	des
brv 	brv
axe 	axe
fla 	fla
hax 	hax
mac 	mac
scm 	scm
buc 	buc
lrg 	lrg
kit 	kit
sml 	sml
lsd 	lsd
wnd 	wnd
ssd 	ssd
clb 	clb
tch 	tch
btx 	btx
hal 	hal
lax 	lax
mau 	mau
scy 	scy
whm 	whm
whp 	whp
jav 	jav
opl 	opl
gpl 	gpl
sbw 	sbw
lbw 	lbw
lbb 	lbb
sbb 	sbb
pik 	pik
spr 	spr
tri 	tri
flc 	flc
sbr 	sbr
glv 	glv
pax 	pax
bsd 	bsd
flb 	flb
wax 	wax
wsc 	wsc
wsd 	wsd
clm 	clm
smc 	smc
fir 	fir
lht 	lht
cld 	cld
pos 	pos
rsp 	rsp
lsp 	lsp
unh 	unh
rsg 	rsg
bld 	bld
shr 	shr
lhr 	lhr
hbd 	hbd
tkt 	tkt
bab 	bab
pha 	pha
fan 	fan
pon 	pon
hd1 	hd1
hd2 	hd2
hd3 	hd3
hd4 	hd4
zz1 	zz1
zz2 	zz2
zz3 	zz3
zz4 	zz4
zz5 	zz5
zz6 	zz6
zz7 	zz7
red 	red
th2 	th2
th3 	th3
th4 	th4
th5 	th5
fbl 	fbl
fsp 	fsp
yng 	yng
old 	old
brd 	brd
got 	got
fez 	fez
rol 	rol
bsk 	bsk
buk 	buk
sak 	sak
ban 	ban
fsh 	fsh
snk 	snk
brn 	brn
blk 	blk
srt 	srt
lng 	lng
dln 	dln
btp 	btp
mtp 	mtp
stp 	stp
svt 	svt
col 	col
hod 	hod
hrn 	hrn
lnk 	lnk
tur 	tur
mlk 	mlk
fhm 	fhm
ghm 	ghm
bhn 	bhn
hed 	hed
