description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
cm0																	void																																																																																							0
cm1	1			100	18	361			4	"t1me,mag"	"r1pg,qty=1"	"gg4z,qty=1"	"upma,qty=1"				"usetype,rar"			100																																																																																				0
cm2	1			100	18	361			4	"t1me,rar"	"r1pg,qty=1"	"ggm4,qty=1"	"rera,qty=1"				"usetype,rar"			100																																																																																				0
cm3	1			100	18	361			3	"t1me,nor"	jew	"imma,qty=1"					"usetype,mag"			100																																																																																				0
cm4	1			100	18	361			4	"t1me,nor"	"imra,qty=1"	jew	"r1pg,qty=1"				"usetype,rar"			100																																																																																				0
cm5	1			100	18	361			3	t1me	"r15g,qty=1"	"scou,qty=1"					"usetype,nor"			100																																																																																				0
cm6	1			100	18	361			4	"t2me,mag"	"r1pg,qty=1"	"gg4z,qty=1"	"upma,qty=1"				"usetype,rar"			100																																																																																				0
cm7	1			100	18	361			4	"t2me,rar"	"r1pg,qty=1"	"ggm4,qty=1"	"rera,qty=1"				"usetype,rar"			100																																																																																				0
cm8	1			100	18	361			3	"t2me,nor"	jew	"imma,qty=1"					"usetype,mag"			100																																																																																				0
cm9	1			100	18	361			4	"t2me,nor"	"imra,qty=1"	jew	"r1pg,qty=1"				"usetype,rar"			100																																																																																				0
cm10	1			100	18	361			3	t2me	"r15g,qty=1"	"scou,qty=1"					"usetype,nor"			100																																																																																				0
cm11	1			100	18	361			4	"t3me,mag"	"r1pg,qty=1"	"gg4z,qty=1"	"upma,qty=1"				"usetype,rar"			100																																																																																				0
cm12	1			100	18	361			4	"t3me,rar"	"r1pg,qty=1"	"ggm4,qty=1"	"rera,qty=1"				"usetype,rar"			100																																																																																				0
cm13	1			100	18	361			3	"t3me,nor"	jew	"imma,qty=1"					"usetype,mag"			100																																																																																				0
cm14	1			100	18	361			4	"t3me,nor"	"imra,qty=1"	jew	"r1pg,qty=1"				"usetype,rar"			100																																																																																				0
cm15	1			100	18	361			3	t3me	"r15g,qty=1"	"scou,qty=1"					"usetype,nor"			100																																																																																				0
cm16	1								4	"t1me,qty=3"	"upmp,qty=1"						t2me			100																																																																																				0
cm17	1								4	"t2me,qty=3"	"upmp,qty=1"						t3me			100																																																																																				0
cm18	1								2	t3me	scrb						"t4me,rar"			100	pr306	100		20	30	pr299	100		20	30	pr325	100	358	100	1	pr359	100		5	10	pr283	100		40	60																																																											0
cm19	1				28				2	msf	vip						hst																																																																																							0
cm20	1				28				4	qf1	qhr	qey	qbr				qf2																																																																																							0
cm21	1				28				2	leg	tbk						Cow Portal																																																																																							0
cm22	1								3	"hpot,qty=3"	"mpot,qty=3"	gem2					rvl																																																																																							0
cm23	1								3	"hpot,qty=3"	"mpot,qty=3"	gem0					rvs																																																																																							0
cm24	1								3	"rvs,qty=3"							rvl																																																																																							0
cm25	1								7	"amu,mag"	"gg4a,qty=1"	"gg4d,qty=1"	"gg4e,qty=1"	"gg4r,qty=1"	"gg4s,qty=1"	"gg4t,qty=1"	"amu,mag,pre=331"	50																																																																																						0
cm26	1								3	"rin,mag"	"gg4r,qty=1"	opm					"rin,mag,pre=372"	30																																																																																						0
cm27	1								3	"rin,mag"	"gg4s,qty=1"	wms					"rin,mag,pre=353"	30																																																																																						0
cm28	1								3	"rin,mag"	"gg4t,qty=1"	rvs					"rin,mag,pre=392"	30																																																																																						0
cm29	1								3	"rin,mag"	"gg4e,qty=1"	yps					"rin,mag,pre=412"	30																																																																																						0
cm30	1								2	axe	knif						"tax,nor"																																																																																							0
cm31	1								2	spea	aqv						"jav,nor"																																																																																							0
cm32	1								3	"rin,mag,qty=3"							"amu,mag"		75																																																																																					0
cm33	1								3	"amu,mag,qty=3"							"rin,mag"		75																																																																																					0
cm34	1								4	"weap,sock"	"gem2,qty=3"						"usetype,mag"	30		60	pr133			1	2																																																																															0
cm35	1			2					4	"weap,mag"	"ggm3,qty=3"						"usetype,mag"	30		60	pr133			1	2																																																																															0
cm36	1			3					4	"shld,mag"	"ggmz,qty=2"	spc					"usetype,mag,suf=162"	30		60																																																																																				0
cm37	1								3	"swor,mag"	"ggmr,qty=1"	"hpot,qty=4"					"usetype,mag,suf=352"	30		60																																																																																				0
cm38	1								4	kri	"ggmd,qty=1"	staf	belt				"pole,mag,pre=191"	50		60																																																																																				0
cm39	1								2	gpl	hpot						yps																																																																																							0
cm40	1								1	"aqv,qty=2"							cqv																																																																																							0
cm41	1								1	"cqv,qty=2"							aqv																																																																																							0
cm42	1								3	"gcv,qty=3"							gfv																																																																																							0
cm43	1								3	"gfv,qty=3"							gsv																																																																																							0
cm44	1								3	"gsv,qty=3"							gzv																																																																																							0
cm45	1								2	"gzvs,qty=3"	"key,qty=1"						gpvs																																																																																							0
cm46	1								4	"gzv,qty=3"	"key,qty=1"						gpv																																																																																							0
cm47	1								3	"gcr,qty=3"							gfr																																																																																							0
cm48	1								3	"gfr,qty=3"							gsr																																																																																							0
cm49	1								3	"gsr,qty=3"							glr																																																																																							0
cm50	1								2	"glrs,qty=3"	"key,qty=1"						gprs																																																																																							0
cm51	1								4	"glr,qty=3"	"key,qty=1"						gpr																																																																																							0
cm52	1								3	"gcb,qty=3"							gfb																																																																																							0
