Hireling	SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Share	Dmg-Min	Dmg-Max	Dmg/Lvl	Resist	Resist/Lvl	WType1	WType2	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	Head	Torso	Weapon	Shield
Rogue Scout	Fire - Normal			271	1	1	3	150	merc01	merc41	100	100	45	8	15	6	35	10	45	16	10	10		1	3	2		8	bow		farw	75	sk8	4	10		1	10	sk7	4	25	8	1	10																									2	1	2	
Rogue Scout	Fire - Normal			271	1	1	25	150	merc01	merc41	100	100	221	13	147	12	63	10	89	16	230	20	1	7	9	4	44	7	bow		farw	75	sk8	4	10		8	10	sk7	4	69		8	10																									2	1	2	
Rogue Scout	Fire - Normal			271	1	1	49	150	merc01	merc41	100	100	533	25	435	18	93	10	137	16	710	30	2	19	21	6	86	5	bow		farw	75	sk8	4	10		16	10	sk7	4	69		16	10																									2	1	2	
Rogue Scout	Ice - Normal		1	271	1	1	3	150	merc01	merc41	150	105	45	8	15	6	35	10	45	16	10	10		1	3	2		8	bow		carw	75	sk8	4	10		1	10	sk11	4	25	2	1	10																									2	1	2	
Rogue Scout	Ice - Normal		1	271	1	1	25	150	merc01	merc41	150	105	221	12	147	12	63	10	89	16	230	20	1	7	9	4	44	7	bow		carw	75	sk8	4	10		8	10	sk11	4	36		8	10																									2	1	2	
Rogue Scout	Ice - Normal		1	271	1	1	49	150	merc01	merc41	150	105	509	16	435	18	93	10	137	16	710	30	2	19	21	6	86	5	bow		carw	75	sk8	4	10		16	10	sk11	4	36		16	10																									2	1	2	
Rogue Scout	Fire - Nightmare		2	271	1	2	25	150	merc01	merc41	6000	110	199	12	132	12	60	10	84	16	207	20	1	6	8	4	41	7	bow		farw	75	sk8	4	10		7	10	sk7	4	69		7	10																									2	1	2	
Rogue Scout	Fire - Nightmare		2	271	1	2	49	150	merc01	merc41	6000	110	487	16	420	18	90	10	132	16	687	30	2	18	20	6	83	5	bow		farw	75	sk8	4	10		15	10	sk7	4	69		15	10																									2	1	2	
Rogue Scout	Ice - Nightmare		3	271	1	2	25	150	merc01	merc41	7500	115	199	12	132	12	60	10	84	16	207	20	1	6	8	4	41	7	bow		carw	75	sk8	4	10		7	10	sk11	4	69		7	10																									2	1	2	
Rogue Scout	Ice - Nightmare		3	271	1	2	49	150	merc01	merc41	7500	115	487	16	420	18	90	10	132	16	687	30	2	18	20	6	83	5	bow		carw	75	sk8	4	10		15	10	sk11	4	69		15	10																									2	1	2	
Rogue Scout	Fire - Hell		4	271	1	3	49	150	merc01	merc41	12500	120	438	16	378	18	87	10	127	16	618	30	2	17	19	6	80	5	bow		farw	75	sk8	4	10		14	10	sk7	4	69		14	10																									2	1	2	
Rogue Scout	Ice - Hell		5	271	1	3	49	150	merc01	merc41	14000	125	438	16	378	18	87	10	127	16	618	30	2	17	19	6	80	5	bow		carw	75	sk8	4	35		14	10	sk11	4	69		14	10																									2	1	2	
Rogue Scout	Fire - Normal	100		271	1	1	3	150	merc01	merc41	100	100	45	9	15	8	35	10	45	16	10	12		1	3	2		8	bow		farw	30	sk115	1	20		3	7	sk385	4	25	5	1	10	sk26	4	20		1	10																			2	1	2	
Rogue Scout	Fire - Normal	100		271	1	1	36	150	merc01	merc41	100	100	342	18	279	15	77	10	111	16	406	24	1	9	11	4	66	7	bow		farw	30	sk115	1	20		11	7	sk385	4	67		12	10	sk26	4	20		12	10																			2	1	2	
Rogue Scout	Fire - Normal	100		271	1	1	67	150	merc01	merc41	100	100	900	30	744	22	116	10	173	16	1150	36	2	25	27	6	121	5	bow		farw	30	sk115	1	20		18		sk385	4	67		22	10	sk26	4	20		22	10																			2	1	2	
Rogue Scout	Ice - Normal	100	1	271	1	1	3	150	merc01	merc41	150	105	45	9	15	8	35	10	45	16	10	12		1	3	2		8	bow		carw	30	sk120	1	20		3	7	sk386	4	25	5	1	10	sk26	4	20		1	10																			2	1	2	
Rogue Scout	Ice - Normal	100	1	271	1	1	36	150	merc01	merc41	150	105	342	18	279	15	77	10	111	16	406	24	1	9	11	4	66	7	bow		carw	30	sk120	1	20		11	7	sk386	4	67		12	10	sk26	4	20		12	10																			2	1	2	
Rogue Scout	Ice - Normal	100	1	271	1	1	67	150	merc01	merc41	150	105	900	30	744	22	116	10	173	16	1150	36	2	25	27	6	121	5	bow		carw	30	sk120	1	20		18		sk386	4	67		22	10	sk26	4	20		22	10																			2	1	2	
Rogue Scout	Fire - Nightmare	100	2	271	1	2	36	150	merc01	merc41	6000	110	308	18	251	15	74	10	106	16	365	24	1	8	10	4	63	7	bow		farw	30	sk115	1	20		5	10	sk385	4	69		11	10	sk26	4	20		11	10																			2	1	2	
Rogue Scout	Fire - Nightmare	100	2	271	1	2	67	150	merc01	merc41	6000	110	866	30	716	22	113	10	168	16	1109	36	2	24	26	6	118	5	bow		farw	30	sk115	1	20		15		sk385	4	69		21	10	sk26	4	20		21	10																			2	1	2	
Rogue Scout	Ice - Nightmare	100	3	271	1	2	36	150	merc01	merc41	7500	115	308	18	251	15	74	10	106	16	365	24	1	8	10	4	63	7	bow		carw	30	sk120	1	20		5	10	sk386	4	69		11	10	sk26	4	20		11	10																			2	1	2	
Rogue Scout	Ice - Nightmare	100	3	271	1	2	67	150	merc01	merc41	7500	115	866	30	716	22	113	10	168	16	1109	36	2	24	26	6	118	5	bow		carw	30	sk120	1	20		15		sk386	4	69		21	10	sk26	4	20		21	10																			2	1	2	
Rogue Scout	Fire - Hell	100	4	271	1	3	67	150	merc01	merc41	12500	120	779	30	644	22	110	10	163	16	998	36	2	23	25	6	115	5	bow		farw	30	sk115	1	20		18		sk385	4	69		20	10	sk26	4	20		20	10																			2	1	2	
Rogue Scout	Ice - Hell	100	5	271	1	3	67	150	merc01	merc41	14000	125	779	30	644	22	110	10	163	16	998	36	2	23	25	6	115	5	bow		carw	30	sk120	1	20		18		sk386	4	69		20	10	sk26	4	20		20	10																			2	1	2	
Desert Mercenary	Comb-Normal		6	338	2	1	9	198	merca201	merca221	350	110	120	10	45	9	57	14	40	12	20	10	1	7	14	4	18	8	pole	spea	comb	30	sk10	14	70	4	3	10	sk103	1	10		3	10	sk26	4	20		20	10																			2	2	2	
Desert Mercenary	Comb-Normal		6	338	2	1	31	198	merca201	merca221	350	110	340	20	243	16	96	14	73	12	240	20	3	18	25	6	62	7	pole	spea	comb	30	sk10	14	92	4	10	10	sk103	1	10		10	10																									2	2	2	
Desert Mercenary	Comb-Normal		6	338	2	1	55	198	merca201	merca221	350	110	820	35	627	24	138	14	109	12	720	30	4	36	43	8	104	4	pole	spea	comb	30	sk10	14	116	4	18	10	sk103	1	10		18																										2	2	2	
Desert Mercenary	Def-Normal		7	338	2	1	9	198	merca201	merca221	350	110	120	10	45	9	57	14	40	12	20	10	1	7	14	4	18	8	pole	spea	def	30	sk10	14	70	4	3	10	sk104	1	10		3	10																									2	2	2	
Desert Mercenary	Def-Normal		7	338	2	1	31	198	merca201	merca221	350	110	340	20	243	16	96	14	73	12	240	20	3	18	25	6	62	7	pole	spea	def	30	sk10	14	92	4	10	10	sk104	1	10		10	10																									2	2	2	
Desert Mercenary	Def-Normal		7	338	2	1	55	198	merca201	merca221	350	110	820	35	627	24	138	14	109	12	720	30	4	36	43	8	104	4	pole	spea	def	30	sk10	14	116	4	18		sk104	1	10		18																										2	2	2	
Desert Mercenary	Off-Normal		8	338	2	1	9	198	merca201	merca221	350	110	120	10	45	9	57	14	40	12	20	10	1	7	14	4	18	8	pole	spea	off	30	sk10	14	70	4	3	10	sk108	1	10		3	10																									2	2	2	
Desert Mercenary	Off-Normal		8	338	2	1	31	198	merca201	merca221	350	110	340	20	243	16	96	14	73	12	240	20	3	18	25	6	62	7	pole	spea	off	30	sk10	14	92	4	10	10	sk108	1	10		10	10																									2	2	2	
Desert Mercenary	Off-Normal		8	338	2	1	55	198	merca201	merca221	350	110	820	35	627	24	138	14	109	12	720	30	4	36	43	8	104	4	pole	spea	off	30	sk10	14	116	4	18		sk108	1	10		18																										2	2	2	
Desert Mercenary	Comb-Nightmare		9	338	2	2	31	198	merca201	merca221	7900	120	306	20	219	16	92	14	69	12	216	20	3	16	23	6	59	7	pole	spea	comb	30	sk10	14	120	4	9	10	sk103	1	10		5	10																									2	2	2	
Desert Mercenary	Comb-Nightmare		9	338	2	2	55	198	merca201	merca221	7900	120	786	35	603	24	134	14	105	12	696	30	4	34	41	8	101	4	pole	spea	comb	30	sk10	14	144	4	17	10	sk103	1	10		13																										2	2	2	
Desert Mercenary	Def-Nightmare		10	338	2	2	31	198	merca201	merca221	7900	120	306	20	219	16	92	14	69	12	216	20	3	16	23	6	59	7	pole	spea	def	30	sk10	14	120	4	9	10	sk104	1	10		6	10																									2	2	2	
Desert Mercenary	Def-Nightmare		10	338	2	2	55	198	merca201	merca221	7900	120	786	35	603	24	134	14	105	12	696	30	4	34	41	8	101	4	pole	spea	def	30	sk10	14	144	4	17		sk104	1	10		14																										2	2	2	
Desert Mercenary	Off-Nightmare		11	338	2	2	31	198	merca201	merca221	7900	120	306	20	219	16	92	14	69	12	216	20	3	16	23	6	59	7	pole	spea	off	30	sk10	14	120	4	9	10	sk108	1	10		7	8																									2	2	2	
Desert Mercenary	Off-Nightmare		11	338	2	2	55	198	merca201	merca221	7900	120	786	35	603	24	134	14	105	12	696	30	4	34	41	8	101	4	pole	spea	off	30	sk10	14	144	4	17		sk108	1	10		13	8																									2	2	2	
Desert Mercenary	Comb-Hell		12	338	2	3	55	198	merca201	merca221	15000	130	707	35	543	24	130	14	101	12	626	30	4	32	39	8	98	4	pole	spea	comb	30	sk10	14	104	4	16	10	sk103	1	10		16																										2	2	2	
Desert Mercenary	Def-Hell		13	338	2	3	55	198	merca201	merca221	15000	130	707	35	543	24	130	14	101	12	626	30	4	32	39	8	98	4	pole	spea	def	30	sk10	14	104	4	16		sk104	1	10		16																										2	2	2	
Desert Mercenary	Off-Hell		14	338	2	3	55	198	merca201	merca221	15000	130	707	35	543	24	130	14	101	12	626	30	4	32	39	8	98	4	pole	spea	off	30	sk10	14	104	4	16		sk108	1	10		16																										2	2	2	
Desert Mercenary	Comb-Normal	100	6	338	2	1	9	198	merca201	merca221	350	110	120	15	45	11	57	14	40	12	20	12	1	7	14	4	18	8	pole	spea	comb	30	sk10	14	70	4	3	10	sk103	1	10		3	7																									2	2	2	
Desert Mercenary	Comb-Normal	100	6	338	2	1	43	198	merca201	merca221	350	110	630	25	419	19	117	14	91	12	428	24	3	24	31	6	86	7	pole	spea	comb	30	sk10	14	104	4	14	10	sk103	1	10		11	7																									2	2	2	
Desert Mercenary	Comb-Normal	100	6	338	2	1	75	198	merca201	merca221	350	110	1430	40	1027	28	173	14	139	12	1196	36	4	48	55	8	142	4	pole	spea	comb	30	sk10	14	136	4	24	10	sk103	1	10		18																										2	2	2	
