Stat	ID	Send Other	Signed	Send Bits	Send Param Bits	UpdateAnimRate	Saved	CSvSigned	CSvBits	CSvParam	fCallback	fMin	MinAccr	Encode	Add	Multiply	Divide	ValShift	1.09-Save Bits	1.09-Save Add	Save Bits	Save Add	Save Param Bits	keepzero	op	op param	op base	op stat1	op stat2	op stat3	direct	maxstat	itemspecific	damagerelated	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	*eol
is0		1		11			1		10			1	1		125	55	1024		7	32	8	32																	67	1	1	ModStr1a	ModStr1a		1	1	1	Moditem2allattrib	Moditem2allattrib		6	0
is1	1			11			1		10			1	1		100	55	1024		7	32	7	32			8			is9											61	1	1	ModStr1d	ModStr1d		1	1	1	Moditem2allattrib	Moditem2allattrib			0
is2	2	1		11			1		10			1	1		125	55	1024		7	32	7	32																	65	1	1	ModStr1b	ModStr1b		1	1	1	Moditem2allattrib	Moditem2allattrib			0
is3	3			11			1		10			1	1		100	55	1024		7	32	7	32			9			is7	is11										63	1	1	ModStr1c	ModStr1c		1	1	1	Moditem2allattrib	Moditem2allattrib			0
is4	4			9			1		10								1024																																			0
is5	5			9			1		8								1024																																			0
is6	6			32			1		21								1024	8													1	is7																				0
is7	7			32			1		21		1	1	1		56	20	1024	8	8	32	9	32																	59	1	1	ModStr1u	ModStr1u									0
is8	8			32			1		21								1024	8						1							1	is9																				0
is9	9			32			1		21		1	1			81	20	1024	8	8	32	8	32																	55	1	1	ModStr1e	ModStr1e									0
is10	10			32			1		21								1024	8						1							1	is11																				0
is11	11			32			1		21		1	1			75	20	1024	8	8	32	8	32																	51	1	1	ModStr5d	ModStr5d									0
is12	12			9			1		7								1024																																			0
is13	13			32			1		32								1024																																			0
is14	14			32			1		25								1024																																			0
is15	15			32			1		25								1024																																			0
is16	16		1	11											47	20	1024		9		9				13			is31											74	4	1	Modstr2v	Modstr2v									0
is17	17		1	11											45	20	1024		10		10				13			is22	is24	is160				1					129	3		ModStr2j	ModStr2j									0
is18	18		1	11											45	20	1024		10		10				13			is21	is23	is159				1					130	3		ModStr2k	ModStr2k									0
is19	19		1	16											15	10	1024		10		10													1					115	1	1	ModStr1h	ModStr1h									0
is20	20		1	10											89	204	1024		6		6																		134	2	1	ModStr3g	ModStr3g									0
is21	21		1	16											122	25	1024		10		10													1					127	1	1	ModStr1g	ModStr1g									0
is22	22		1	16											94	16	1024		10		10													1					126	1	1	ModStr1f	ModStr1f									0
is23	23		1	16											97	15	1024		10		10													1					124	1	1	ModStr1g	ModStr1g									0
is24	24		1	16											85	11	1024		10		10													1					123	1	1	ModStr1f	ModStr1f									0
is25	25		1	12											45	40	1024		8		8													1																		0
is26	26																1024		8		8																															0
is27	27		1	16													1024		8		8																		52	2	2	ModStr4g	ModStr4g									0
is28	28		1	16													1024		8		8																		48	2	2	ModStr3v	ModStr3v									0
is29	29			32													1024																																			0
is30	30			32													1024																																			0
is31	31		1	16											17	10	1024		10	10	11	10																	71	1	1	ModStr1i	ModStr1i									0
is32	32		1	16											11	5	1024		8		9																		69	1	1	ModStr6a	ModStr6a									0
is33	33		1	16											13	7	1024		8		8																		70	1	1	ModStr6b	ModStr6b									0
is34	34		1	10											188	200	1024		6		6																		22	3	2	ModStr2u	ModStr2u									0
is35	35		1	10											397	340	1024		6		6																		21	3	2	ModStr2t	ModStr2t									0
is36	36		1	9											152	68	1024		8		8																		22	2	2	ModStr2u	ModStr2u									0
is37	37		1	9											164	68	1024		8		8																		41	4	2	ModStr1m	ModStr1m									0
is38	38		1	9											1091	409	1024		5		5																		46	4	1	ModStr5x	ModStr5x									0
is39	39		1	9											43	20	1024		8		8	50																	36	4	2	ModStr1j	ModStr1j		2	19		strModAllResistances	strModAllResistances			0
is40	40		1	9											584	256	1024		5		5																		42	4	1	ModStr5u	ModStr5u									0
is41	41		1	9											43	20	1024		8		8	50																	38	4	2	ModStr1l	ModStr1l		2	19		strModAllResistances	strModAllResistances			0
is42	42		1	9											584	256	1024		5		5																		43	4	1	ModStr5w	ModStr5w									0
is43	43		1	9											43	20	1024		8		8	50																	40	4	2	ModStr1k	ModStr1k		2	19		strModAllResistances	strModAllResistances			0
is44	44		1	9											584	256	1024		5		5																		44	4	1	ModStr5v	ModStr5v									0
is45	45		1	9											43	20	1024		8		8	50																	34	4	2	ModStr1n	ModStr1n		2	19		strModAllResistances	strModAllResistances			0
