Name	Id	Pal	Act	QuestFlag	QuestFlagEx	Layer	SizeX	SizeY	SizeX(N)	SizeY(N)	SizeX(H)	SizeY(H)	OffsetX	OffsetY	Depend	Teleport	Rain	Mud	NoPer	LOSDraw	FloorFilter	BlankScreen	DrawEdges	IsInside	DrlgType	LevelType	SubType	SubTheme	SubWaypoint	SubShrine	Vis0	Vis1	Vis2	Vis3	Vis4	Vis5	Vis6	Vis7	Warp0	Warp1	Warp2	Warp3	Warp4	Warp5	Warp6	Warp7	Intensity	Red	Green	Blue	Portal	Position	SaveMonsters	Quest	WarpDist	MonLvl1	MonLvl2	MonLvl3	MonLvl1Ex	MonLvl2Ex	MonLvl3Ex	MonDen	MonDen(N)	MonDen(H)	MonUMin	MonUMax	MonUMin(N)	MonUMax(N)	MonUMin(H)	MonUMax(H)	MonWndr	MonSpcWalk	NumMon	mon1	mon2	mon3	mon4	mon5	mon6	mon7	mon8	mon9	mon10	mon11	mon12	mon13	mon14	mon15	mon16	mon17	mon18	mon19	mon20	mon21	mon22	mon23	mon24	mon25	rangedspawn	nmon1	nmon2	nmon3	nmon4	nmon5	nmon6	nmon7	nmon8	nmon9	nmon10	nmon11	nmon12	nmon13	nmon14	nmon15	nmon16	nmon17	nmon18	nmon19	nmon20	nmon21	nmon22	nmon23	nmon24	nmon25	umon1	umon2	umon3	umon4	umon5	umon6	umon7	umon8	umon9	umon10	umon11	umon12	umon13	umon14	umon15	umon16	umon17	umon18	umon19	umon20	umon21	umon22	umon23	umon24	umon25	cmon1	cmon2	cmon3	cmon4	cpct1	cpct2	cpct3	cpct4	camt1	camt2	camt3	camt4	Themes	SoundEnv	Waypoint	LevelName	LevelWarp	EntryFile	ObjGrp0	ObjGrp1	ObjGrp2	ObjGrp3	ObjGrp4	ObjGrp5	ObjGrp6	ObjGrp7	ObjPrb0	ObjPrb1	ObjPrb2	ObjPrb3	ObjPrb4	ObjPrb5	ObjPrb6	ObjPrb7	Beta
lv0																					1	1																																			25	50																																																																																																										255																				1
lv1	1						56	40	56	40	56	40	-1	-1		1	1				1	1			2	1	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1					1	1			2025		25	50																																																																																												ms149				30									1		Rogue Encampment	To The Rogue Encampment	A1L1																	1
lv2	2						80	80	80	80	80	80	-1	-1		1	1				1	1	1		3	2	6		4	5				8	8	8	8		-1	-1	-1		1	2	3	-1							1		2025	1	26	51	1	36	67	520	520	520			4	5	7	9	1		3	ms5	ms19	ms63																								ms5	ms19	ms63																							ms5	ms19	ms63																																				2	255	Blood Moor	To The Blood Moor	A1L2	4	38	33	34					3	17	17	17					1
lv3	3						80	80	80	80	80	80	1000	1000		1	1				1	1	1		3	2	6	1	4	5				9	9	9	9		-1	-1	-1		1	2	3	-1					1		1		2025	2	27	52	2	36	68	520	520	520	1	1	4	5	7	9	1		3	ms28	ms43	ms58	ms165																							ms28	ms43	ms58	ms165																						ms28	ms43	ms58	ms165																																			2	1	Cold Plains	To The Cold Plains	A1L3	4	38	33	34					3	22	22	22					1
lv4	4						80	80	80	80	80	80	1000	1000		1	1				1	1	1		3	2	6	2	4	5				10	10	10	10		-1	-1	-1		1	2	3	-1							1		2025	4	29	54	4	37	68	520	520	520	1	2	4	6	7	9	1		3	ms0	ms6	ms206	ms53	ms160																						ms0	ms6	ms206	ms53	ms160																					ms0	ms6	ms15	ms53	ms160																																		2	2	Stony Field	To The Stony Field	A1L4	1	38	33	34					4	27	27	27					1
lv5	5						80	80	80	80	80	80	-1	-1		1	1				1	1	1		3	2	6	3	4	5				10	10	10	10		-1	-1	-1		1	2	3	-1					1		1		2025	5	30	55	5	38	68	520	520	520	1	2	4	6	7	9	1		3	ms20	ms44	ms64	ms166	ms170																						ms20	ms44	ms64	ms166	ms170																					ms20	ms44	ms64	ms166	ms170																																		2	3	Dark Wood	To The Dark Wood	A1L5	1	38	33	34					4	30	30	30					1
lv6	6						80	80	80	80	80	80	-1	-1		1	1				1	1	1		3	2	6	4	4	5			20	11	11	11	11		-1	-1	10		1	2	3	-1							1		2025	6	31	56	6	38	69	520	520	520	1	2	4	6	7	9	1		3	ms207	ms1	ms24	ms54	ms59	ms161																					ms207	ms1	ms24	ms54	ms59	ms161																				ms1	ms16	ms24	ms54	ms59	ms161																																	2	4	Black Marsh	To The Black Marsh	A1L6	1	38	33	34					5	32	32	32					1
lv7	7						80	80	80	80	80	80	-1	-1		1	1				1	1	1		3	2	6	2	4	5				12	12	12	12		-1	-1	-1		1	2	3	-1					1		1		2025	8	33	58	8	39	69	520	520	520	1	2	4	6	7	9	1		3	ms45	ms65	ms167	ms171	ms383																						ms45	ms65	ms167	ms171	ms383																					ms45	ms65	ms167	ms171	ms383																																		2	255	Tamoe Highland	To The Tamoe Highland	A1L7	1	38	33	34					5	35	35	35					1
lv8	8					1	200	200	200	200	200	200	1500	1000		1				1	1	1		1	1	3	-1	-1	-1	-1	2								4	-1	-1	-1	-1	-1	-1	-1		255	255	255			1	1	2025	1	26	51	1	36	79	600	600	600									3	ms5	ms28	ms58																								ms5	ms28	ms58																							ms5	ms28	ms58																							ms151	ms159			30	30								4	255	Den of Evil	To The Den of Evil	A1L9	6	4							35	45							1
lv9	9					2	200	200	200	200	200	200	1500	1300		1				1	1	1		1	1	3	-1	-1	-1	-1	3				13				4	-1	-1	-1	5	-1	-1	-1		255	255	255			1		2025	2	27	52	2	36	77	600	600	600	1	2	4	6	6	8	1		3	ms0	ms6	ms160																								ms0	ms6	ms160																							ms0	ms6	ms160																							ms151	ms159			30	30								4	255	Cave Level 1	To The Cave Level 1	A1L9	6	4							30	3							1
lv10	10					3	200	200	200	200	200	200	1500	1600		1				1	1	1		1	1	3	-1	-1	-1	-1	4	5			14				4	4	-1	-1	5	-1	-1	-1		255	255	255			1		2025	4	29	54	4	37	69	600	600	600	1	2	4	6	6	8	1		3	ms12	ms20	ms44	ms170																							ms12	ms20	ms44	ms170																						ms12	ms20	ms44	ms170																						ms151	ms159			30	30								4	255	Underground Passage Level 1	To Underground Passage Level 1	A1L10	6	4							30	3							1
