Name	Def	LevelId	Populate	Logicals	Outdoors	Animate	KillEdge	FillBlanks	SizeX	SizeY	AutoMap	Scan	Pops	PopPad	Files	File1	File2	File3	File4	File5	File6	Dt1Mask	Beta	Expansion
lp0																0	0	0	0	0	0		0	
lp1	1	1	1		1			1			1	1				Act1/Town/TownN1.ds1	Act1/Town/TownE1.ds1	Act1/Town/TownS1.ds1	Act1/Town/TownW1.ds1	0	0	959	1	
lp2	2		1		1		1	1	8	40						0	Act1/Town/TownETrans.ds1	0	0	0	0	16765	1	
lp3	3		1		1		1	1	56	8						0	Act1/Town/TownSTrans.ds1	Act1/Town/TownSTrans2.ds1	0	0	0	8405373	1	
lp4	4				1		1	1	8	8					3	Act1/Outdoors/Bord1.ds1	Act1/Outdoors/Bord1b.ds1	Act1/Outdoors/Bord1c.ds1	Act1/Outdoors/Bord1o.ds1	Act1/Outdoors/Bord1oe.ds1	0	16405	1	
lp5	5		1		1		1	1	8	8					3	Act1/Outdoors/Bord2.ds1	Act1/Outdoors/Bord2b.ds1	Act1/Outdoors/Bord2c.ds1	Act1/Outdoors/Bord2o.ds1	Act1/Outdoors/Bord2oe.ds1	0	16405	1	
lp6	6		1		1		1	1	8	8					3	Act1/Outdoors/Bord3.ds1	Act1/Outdoors/Bord3b.ds1	Act1/Outdoors/Bord3c.ds1	Act1/Outdoors/Bord3o.ds1	Act1/Outdoors/Bord3oe.ds1	0	16405	1	
lp7	7				1		1	1	8	8					3	Act1/Outdoors/Bord4.ds1	Act1/Outdoors/Bord4b.ds1	Act1/Outdoors/Bord4c.ds1	Act1/Outdoors/Bord4o.ds1	Act1/Outdoors/Bord4oe.ds1	0	16405	1	
lp8	8				1		1	1	8	8					1	Act1/Outdoors/Bord5.ds1	0	0	0	0	0	16405	1	
lp9	9		1		1		1	1	8	8					1	Act1/Outdoors/Bord6.ds1	0	0	0	0	0	16405	1	
lp10	10				1		1	1	8	8					1	Act1/Outdoors/Bord7.ds1	0	0	0	0	0	16405	1	
lp11	11				1		1	1	8	8					1	Act1/Outdoors/Bord8.ds1	0	0	0	0	0	16405	1	
lp12	12		1		1		1	1	8	8					1	Act1/Outdoors/Bord9.ds1	0	0	0	0	0	16405	1	
lp13	13		1		1		1	1	8	8					1	Act1/Outdoors/Bord10.ds1	0	0	0	0	0	16405	1	
lp14	14		1		1		1	1	8	8					1	Act1/Outdoors/Bord11.ds1	0	0	0	0	0	16405	1	
lp15	15				1		1	1	8	8					1	Act1/Outdoors/Bord12.ds1	0	0	0	0	0	16405	1	
lp16	16				1		1	1	8	8					1	Act1/Outdoors/StnClf2.ds1	0	0	0	0	0	1025	1	
lp17	17				1		1	1	8	8					1	Act1/Outdoors/StnClf3.ds1	0	0	0	0	0	513	1	
lp18	18				1		1	1	8	8					1	Act1/Outdoors/StnClf5.ds1	0	0	0	0	0	1029	1	
lp19	19				1		1	1	8	8					1	Act1/Outdoors/StnClf6a.ds1	0	0	0	0	0	5633	1	
