Name	Id	File 1	File 2	File 3	File 4	File 5	File 6	File 7	File 8	File 9	File 10	File 11	File 12	File 13	File 14	File 15	File 16	File 17	File 18	File 19	File 20	File 21	File 22	File 23	File 24	File 25	File 26	File 27	File 28	File 29	File 30	File 31	File 32	Beta	Act	Expansion
lt0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
lt1	1	Act1/Town/Floor.dt1	Act1/Town/Objects.dt1	Act1/Town/Fence.dt1	Act1/Outdoors/River.dt1	Act1/Outdoors/stonewall.dt1	Act1/Town/trees.dt1	0	Act1/Outdoors/Objects.dt1	Act1/Outdoors/TreeGroups.dt1	Act1/Outdoors/Bridge.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	
lt2	2	Act1/Town/Floor.dt1	Act1/Town/Trees.dt1	Act1/Outdoors/stonewall.dt1	Act1/Outdoors/Fence.dt1	Act1/Outdoors/TreeGroups.dt1	Act1/Outdoors/River.dt1	Act1/Outdoors/Bridge.dt1	Act1/Outdoors/Cairn.dt1	Act1/Outdoors/Objects.dt1	Act1/Outdoors/Cliff2.dt1	Act1/Outdoors/Cliff1.dt1	Act1/Graveyard/graveyrd.dt1	Act1/Outdoors/Corner.dt1	Act1/Outdoors/Ruin.dt1	Act1/Outdoors/Stones.dt1	Act1/Outdoors/Tower.dt1	Act1/Outdoors/Fallen.dt1	Act1/Outdoors/pond.dt1	Act1/Outdoors/puddle.dt1	Act1/Outdoors/TowerB.dt1	Act1/Caves/Cavedr.dt1	Act1/Outdoors/tome.dt1	Act1/Outdoors/Swamp.dt1	Act1/Town/Fence.dt1	Act1/Outdoors/Cottages.dt1	Act1/Town/Objects.dt1	Act1/Court/Outwall.dt1	PD2assets/StainedAlt.dt1	Act1/Tristram/town.dt1	0	0	0	1	1	
lt3	3	Act1/Caves/Cave.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	
lt4	4	Act1/Crypt/Basewall.dt1	Act1/Crypt/Floor.dt1	PD2assets/PboxwallAlt.dt1	Act1/Court/Floor.dt1	PD2assets/ArchwallAlt.dt1	PD2assets/FloorAlt.dt1	Act1/Monastry/Facade.dt1	Act1/Town/trees.dt1	Act1/Court/Outwall.dt1	Act1/Outdoors/TreeGroups.dt1	Act1/Court/Plants2.dt1	Act1/Outdoors/Cottages.dt1	Act1/Cathedrl/Alter.dt1	Act1/Cathedrl/Coffers.dt1	PD2assets/StainedAlt.dt1	Act1/Cathedrl/column.dt1	Act1/Cathedrl/Frescoes.dt1	Act1/Cathedrl/rugs.dt1	PD2assets/BarfloorAlt.dt1	PD2assets/fac5pd2.dt1	Act1/Outdoors/stonewall.dt1	0	0	0	0	0	0	0	0	0	0	0	1	1	
lt5	5	Act1/Court/Floor.dt1	Act1/Town/Floor.dt1	Act1/Outdoors/River.dt1	Act1/Court/Archwall.dt1	Act1/Court/Outwall.dt1	Act1/Monastry/Facade.dt1	Act1/Outdoors/stonewall.dt1	Act1/Town/trees.dt1	Act1/Outdoors/TreeGroups.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
lt6	6	Act1/Court/Floor.dt1	Act1/Court/Archwall.dt1	Act1/Court/Outwall.dt1	Act1/Barracks/floor.dt1	Act1/Court/Plants2.dt1	Act1/Court/Pboxwall.dt1	Act1/Barracks/basewall.dt1	Act1/Barracks/barset.dt1	Act1/Barracks/exitdn.dt1	Act1/Barracks/objects.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
lt7	7	Act1/Barracks/basewall.dt1	Act1/Barracks/barset.dt1	Act1/Barracks/exitdn.dt1	Act1/Barracks/floor.dt1	Act1/Court/Outwall.dt1	Act1/Barracks/Torture.dt1	Act1/Barracks/objects.dt1	Act1/Court/Floor.dt1	Act1/Barracks/stairup.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
lt8	8	Act1/Barracks/basewall.dt1	Act1/Barracks/barset.dt1	Act1/Barracks/exitdn.dt1	Act1/Barracks/floor.dt1	0	Act1/Barracks/Torture.dt1	Act1/Barracks/objects.dt1	0	Act1/Barracks/stairup.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
lt9	9	Act1/Cathedrl/Alter.dt1	Act1/Cathedrl/Coffers.dt1	Act1/Cathedrl/Stained.dt1	Act1/Barracks/floor.dt1	Act1/Cathedrl/column.dt1	Act1/Court/Outwall.dt1	Act1/Court/Floor.dt1	Act1/Cathedrl/Frescoes.dt1	Act1/Cathedrl/rugs.dt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	
