name	*name	szFlavorText	compactsave	version	level	levelreq	rarity	spawnable	speed	nodurability	cost	gamble cost	code	alternategfx	namestr	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	special	Transmogrify	TMogType	TMogMin	TMogMax	useable	throwable	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	lightradius	belt	autobelt	stackable	minstack	maxstack	spawnstack	quest	questdiffcheck	missiletype	spellicon	pSpell	state	cstate1	cstate2	len	stat1	calc1	stat2	calc2	stat3	calc3	spelldesc	spelldescstr	spelldesccalc	durwarning	qntwarning	gemoffset	BetterGem	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HraltiMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	PermStoreItem	multibuy	Nameable	*eol	
mi0	elixir		1		21		4	1		1	20		elx	elx	elx	16	1	1				flppot	invpot				xxx			1	0	elix		so237	14	so238			5											-1	8					is13	5											non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0	
mi1	Healing Potion		1				1			1	30		hpo	hpo	hpo	16	1	1				flprps	invrps				xxx			1	0	hpot		so237	14	so238			5		1	1								-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx			1	1		0	
mi2	Mana Potion		1				1			1	30		mpo	mpo	mpo	16	1	1				flpbps	invbps				xxx			1	0	mpot		so237	14	so238			5		1	1								-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx			1	1		0	
mi3	Full Healing Potion		1				2			1	150		hpf	hpo	hpf	16	1	1				flprpl	invrpl				xxx			1	0	hpot		so237	14	so238			5		1	1								-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx			1	1		0	
mi4	Full Mana Potion		1				2			1	150		mpf	mpo	mpf	16	1	1				flpbpl	invbpl				xxx			1	0	mpot		so237	14	so238			5		1	1								-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx			1	1		0	
mi5	Stamina Potion		1				1	1		1	25		vps	vps	vps	16	1	1				flpwps	invwps				xxx			1	0	spot		so237	14	so238			5		1	1								-1	9	st180			750	is28	5000											non						255					255	2	4			255					255	3	5	3	5	255					255					255	3	5			255					255					255					255	2	3			255					255	2	3			255					255					255	2	3			255						xxx	xxx			1	1		0	
mi6	Antidote Potion		1				1	1		1	40		yps	yps	yps	16	1	1				flpnps	invnps				xxx			1	0	apot		so237	14	so238			5		1	1								-1	6	st178	st2		750	is45	25					1						non						255					255	2	4			255					255	9	15	9	15	255					255					255	8	11			255					255					255					255	8	11			255					255	3	5			255					255					255	3	5			255						xxx	xxx			1	1		0	
mi7	Rejuv Potion		1				2			1	400		rvs	yps	rvs	16	1	1				flpvps	invvps				xxx			1	0	rpot		so237	14	so238			5		1	1								-1	5					is6	35	is8	35			1	ItemStatsrejuv1					non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0	
mi8	Full Rejuv Potion		1				2			1	1500		rvl	ypl	rvl	16	1	1				flpvpl	invvpl				xxx			1	0	rpot		so237	14	so238			5		1	1								-1	5					is6	65	is8	65			1	ItemStatsrejuv2					non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0	
mi9	Thawing Potion		1				2	1		1	25		wms	yps	wms	16	1	1				flpyps	invyps				xxx			1	0	wpot		so237	14	so238			5		1	1								-1	6	st179	st1	st11	750	is43	25					1						non						255					255	1	2			255					255	3	5	3	5	255					255					255	6	9			255					255					255					255	6	9			255					255	2	4			255					255					255	2	4			255						xxx	xxx			1	1		0	
