Act	Place
1	ms147
1	ms146
1	ms148
1	ms149
1	ms152
1	ms150
1	ms179
1	ms155
1	ms154
1	ms156
1	me17
1	me18
1	me5
1	ms179
1	ms185
1	me2
1	me1
1	me0
1	me0
1	me3
1	ms266
1	ms152
1	ms272
1	ms273
1	me12
1	me14
1	me17
1	me18
1	ms327
1	ms328
1	me33
1	me34
1	me35
1	me36
1	su0
1	su1
1	su2
1	su3
1	su4
1	su5
1	su6
1	su7
1	su8
1	su9
1	su20
1	su39
1	su40
1	ms826
1	me0
1	ms743
1	ms747
1	me0
1	me0
1	me0
1	me0
1	me0
1	me0
1	me0
2	ms175
2	ms176
2	ms177
2	ms178
2	me0
2	me0
2	me0
2	me0
2	ms198
2	ms199
2	ms202
2	ms210
2	ms200
2	ms201
2	me2
2	me1
2	me0
2	ms250
2	su10
2	ms211
2	ms244
2	me3
2	ms195
2	ms196
2	ms203
2	ms204
2	ms205
2	me8
2	ms320
2	me15
2	me16
2	me19
2	me20
2	me0
2	ms273
2	ms327
2	ms328
2	me33
2	me34
2	me35
2	me36
2	ms371
2	ms372
2	me0
2	me0
2	me0
2	su11
2	su12
2	su13
2	su14
2	su15
2	su16
2	su17
2	su19
2	ms377
2	ms378
2	ms228
2	ms251
2	ms4
2	ms743
2	ms747
2	ms800
2	ms870
2	me0
2	me0
2	me0
2	me0
2	me0
2	me0
2	me0
3	ms245
3	me3
3	ms294
3	ms296
3	ms252
3	ms253
3	ms254
3	ms255
3	ms264
3	me9
3	me10
3	me11
3	me13
3	ms327
3	ms328
3	ms297
3	me21
3	me33
3	me34
3	me35
3	me36
3	ms366
3	ms242
3	ms354
3	ms401
3	ms359
3	me22
3	me23
3	su21
3	su22
3	su23
3	su24
3	su25
3	su26
3	su27
3	su28
3	su29
3	su30
3	su31
3	ms755
3	ms750
3	ms753
3	ms879
3	ms884
3	me0
3	me0
3	me0
3	me0
4	me3
4	ms327
4	ms328
4	me33
4	me34
4	me35
4	me36
4	ms367
4	ms393
4	ms392
4	ms405
4	ms257
4	ms153
4	ms256
4	ms243
4	su32
4	su33
4	su34
4	su35
4	su36
4	su37
4	su38
4	ms403
4	ms404
4	ms309
4	ms246
4	ms408
4	su41
4	ms746
4	ms789
4	ms790
4	ms791
4	ms792
4	ms793
4	ms794
4	me0
4	ms747
4	ms798
4	ms743
5	ms511
5	ms512
5	ms513
5	ms514
5	ms515
5	me24
5	su42
5	ms521
5	ms520
5	me25
5	me27
5	me26
5	ms498
5	ms497
5	me28
5	ms517
5	ms516
5	ms522
5	me31
5	me29
5	me30
5	ms520
5	ms535
5	me32
5	ms537
5	ms538
5	ms539
5	su48
5	ms543
5	ms545
5	ms567
5	ms568
5	ms569
5	ms544
5	su46
5	su47
5	su49
5	su50
5	su51
5	su52
5	su53
5	su54
5	su55
5	su56
5	su57
5	su58
5	su59
5	ms574
5	ms149
5	me3
5	ms528
5	ms809
5	ms882
5	ms883
5	ms861
5	me0
5	me0
5	me0
5	me0
5	me0
5	me0
5	me0
5	me0
5	me0
5	me0
5	me0
5	me0
