Id	prop1	chance1	par1	min1	max1	prop2	chance2	par2	min2	max2	prop3	chance3	par3	min3	max3	prop4	chance4	par4	min4	max4	prop5	chance5	par5	min5	max5	prop6	chance6	par6	min6	max6	prop1 (N)	chance1 (N)	par1 (N)	min1 (N)	max1 (N)	prop2 (N)	chance2 (N)	par2 (N)	min2 (N)	max2 (N)	prop3 (N)	chance3 (N)	par3 (N)	min3 (N)	max3 (N)	prop4 (N)	chance4 (N)	par4 (N)	min4 (N)	max4 (N)	prop5 (N)	chance5 (N)	par5 (N)	min5 (N)	max5 (N)	prop6 (N)	chance6 (N)	par6 (N)	min6 (N)	max6 (N)	prop1 (H)	chance1 (H)	par1 (H)	min1 (H)	max1 (H)	prop2 (H)	chance2 (H)	par2 (H)	min2 (H)	max2 (H)	prop3 (H)	chance3 (H)	par3 (H)	min3 (H)	max3 (H)	prop4 (H)	chance4 (H)	par4 (H)	min4 (H)	max4 (H)	prop5 (H)	chance5 (H)	par5 (H)	min5 (H)	max5 (H)	prop6 (H)	chance6 (H)	par6 (H)	min6 (H)	max6 (H)	*eol
mp0	pr262			1	1																										pr262			2	2																										pr262			2	2																										0
mp1	pr262			16	16																										pr262			16	16																										pr262			16	16																										0
mp2																															pr86			15	15	pr56			15	15																					pr86			30	30	pr56			30	30																					0
mp3																															pr108			15	15																										pr108			25	25																										0
mp4																															pr244			40	40																										pr244			100	100																										0
mp5																															pr244			40	40																										pr244			100	100																										0
mp6																															pr244			40	40																										pr244			100	100																										0
mp7																															pr244			60	60																										pr244			120	120																										0
mp8																																																													pr60			1	1																										0
mp9																															pr54			15	20																										pr54			30	40																										0
mp10																															pr54			15	20																										pr54			30	40																										0
mp11																															pr54			15	20																										pr54			30	40																										0
mp12	pr126	100	387	100	1																										pr126	100	387	100	1																										pr126	100	387	100	1																										0
mp13	pr126	100	358	100	1																										pr126	100	358	100	1																										pr126	100	358	100	1																										0
mp14	pr126	100	389	100	1																										pr126	100	389	100	1																										pr126	100	389	100	1																										0
mp15	pr107	10	62	10	10																										pr107	10	62	10	10																										pr107	10	62	10	10																										0
mp16	pr126	100	393	100	1																										pr126	100	393	100	1																										pr126	100	393	100	1																										0
mp17	pr125	100	395	1	1																										pr125	100	395	1	1																										pr125	100	395	1	1																										0
mp18	pr125	100	396	1	1																										pr125	100	396	1	1																										pr125	100	396	1	1																										0
mp19	pr125	100	123	5	5																										pr125	100	123	5	5																										pr125	100	439	1	1																										0
mp20																																																													pr55	100		-40	-40																										0
mp21																																																													pr127	100	406	100	1																										0
mp22																																																													pr127	100	407	100	1																										0
mp23																																																													pr127	100	407	100	1																										0
mp24																																																													pr127	100	66	100	20	pr66			20	20																					0
mp25																																																													pr66			20	20																										0
mp26																																																													pr85			-50	-50																										0
mp27	pr259	100	363	100	1																										pr259	100	363	100	2																										pr259	100	363	100	10																										0
mp28																																																													pr232	100		50	50	pr330	100		90	90																					0
mp29																																																													pr330	100		90	90																										0
mp30																																																													pr114	100		20	20																										0
