sequence	mode	frame	dir	event	eol
mq0	NU				0
mq1	A1				0
mq1	A1	1			0
mq1	A1	2			0
mq1	A1	3			0
mq1	A1	4			0
mq1	A1	5			0
mq1	A1	6			0
mq1	A1	7			0
mq1	A1	8		1	0
mq1	A1	9			0
mq1	A1	10			0
mq1	A1	11			0
mq1	A1	12			0
mq1	A1	13			0
mq1	A1	14			0
mq2	WL			1	0
mq2	WL	2		1	0
mq2	WL	4		1	0
mq2	WL	6		1	0
mq2	WL	8		1	0
mq2	WL	10		1	0
mq2	WL	12		1	0
mq2	WL	14		1	0
mq2	A2	3			0
mq2	A2	7		1	0
mq2	A2	8			0
mq2	A2	9			0
mq2	A2	10			0
mq2	A2	11			0
mq3	S1				0
mq3	S1	1			0
mq3	S1	2			0
mq3	S1	3			0
mq3	S1	4			0
mq3	S1	5			0
mq3	S1	6			0
mq3	S1	7		4	0
mq4	A1				0
mq4	A1	1			0
mq4	A1	2			0
mq4	A1	3			0
mq4	A1	4			0
mq4	A1	5		1	0
mq4	A1	6			0
mq4	A1	7			0
mq4	A1	8			0
mq4	A1	9			0
mq5	A1	2			0
mq5	A1	4			0
mq5	A1	6			0
mq5	A1	8		1	0
mq5	A1	9			0
mq5	A1	15			0
mq5	A2	4			0
mq5	A2	6			0
mq5	A2	7			0
mq5	A2	9		1	0
mq5	A2	10			0
mq5	A2	12			0
mq5	A2	13			0
mq6	SC				0
mq6	SC	1			0
mq6	SC	2			0
mq6	SC	3			0
mq6	SC	4			0
mq6	SC	5			0
mq6	SC	6			0
mq6	SC	7			0
mq6	SC	8			0
mq6	SC	9			0
mq6	SC	10			0
mq6	SC	11			0
mq6	SC	12			0
mq6	SC	13		2	0
mq6	SC	14			0
mq6	SC	15			0
mq7	S1				0
mq7	S1	1			0
mq7	S1	2			0
mq7	S1	3			0
mq7	S1	4			0
mq7	S1	5			0
mq7	S1	6			0
mq7	S1	7			0
mq7	S1	8			0
mq7	S1	9			0
mq7	S1	10		2	0
mq7	S1	11			0
mq7	S1	12			0
mq7	S1	13			0
mq7	S1	14			0
mq7	S1	15			0
mq7	S1	16			0
mq8	DT	10			0
mq8	DT	9			0
mq8	DT	8			0
mq8	DT	7			0
mq8	DT	6			0
mq8	DT	5			0
mq8	DT	4			0
mq8	DT	3			0
mq8	DT	2			0
mq8	DT	1			0
mq8	DT				0
mq9	SC				0
mq9	SC	1			0
mq9	SC	2			0
mq9	SC	3			0
mq9	SC	4			0
mq9	SC	5			0
mq9	SC	6			0
mq9	SC	7			0
mq9	SC	8			0
mq9	SC	9			0
mq9	SC	10			0
mq9	SC	11			0
mq9	SC	12			0
mq9	SC	13		2	0
mq9	SC	14			0
mq9	SC	15			0
mq9	SC	16			0
mq10	DT	17			0
mq10	DT	16			0
mq10	DT	15			0
mq10	DT	14			0
mq10	DT	13			0
mq10	DT	12			0
mq10	DT	11			0
mq10	DT	10			0
mq10	DT	9			0
mq10	DT	8			0
mq10	DT	7			0
mq10	DT	6			0
mq10	DT	5			0
mq10	DT	4			0
mq10	DT	3			0
mq10	DT	2			0
mq10	DT	1			0
mq10	DT				0
mq11	DT				0
mq11	DT	1			0
mq11	DT	2			0
mq11	DT	3			0
mq11	DT	4			0
