Id	Attack1	Weapon1	Att1Del	Wea1Del	Att1Prb	Wea1Vol	Attack2	Weapon2	Att2Del	Wea2Del	Att2Prb	Wea2Vol	HitSound	DeathSound	HitDelay	DeaDelay	Skill1	Skill2	Skill3	Skill4	Footstep	FootstepLayer	FsCnt	FsOff	FsPrb	Neutral	NeuTime	Init	Taunt	Flee	CvtMo1	CvtSk1	CvtTgt1	CvtMo2	CvtSk2	CvtTgt2	CvtMo3	CvtSk3	CvtTgt3	EOL
mo0	so0	so0					so0	so0					so0	so0			so0	so0	so0	so0	so0	so0				so0		so0	so0	so0										0
mo1	so0	so0					so0	so0					so1603	so1607			so0	so0	so0	so0	so2768	so0	2		100	so0		so0	so0	so0										0
mo2	so0	so292		8		255	so0	so292		8		255	so1132	so1136			so0	so0	so0	so0	so2768	so0	2		100	so0		so0	so0	so0										0
mo3	so0	so286		5		255	so0	so286		5		255	so1194	so1198			so0	so0	so0	so0	so2768	so0	2		100	so0		so0	so0	so0										0
mo4	so0	so268		5		255	so0	so268		5		255	so2902	so2907	2		so0	so0	so0	so0	so0	so0				so0		so0	so0	so0										0
mo5	so439	so304		5	70	180	so439	so304		5	70	180	so443	so447	2	1	so0	so0	so0	so0	so0	so2874	2		100	so0		so0	so4629	so0										0
mo6	so1819	so1825	2	4	100	255	so1819	so1825	2	4	100	255	so1836	so1842	2	1	so0	so0	so0	so0	so2720	so0	3		100	so1848	150	so0	so0	so0										0
mo7	so457	so0			100		so458	so0	2		100		so468	so463	2		so475	so477	so476	so0	so2816	so2874	2		100	so0		so0	so4631	so0										0
mo8	so457	so0			100		so458	so0	2		100		so468	so463	2		so475	so477	so476	so0	so2816	so2874	2		100	so0		so0	so4633	so0										0
mo9	so480	so292	2	5	100	255	so480	so304	2	4	100	255	so488	so484	2		so0	so0	so0	so0	so2816	so0	2		100	so0		so0	so0	so0										0
mo10	so492	so0			100		so0	so0					so388	so496	2		so500	so0	so0	so0	so0	so0				so0		so0	so0	so0										0
mo11	so504	so255		4	100	180	so504	so255		4	100	180	so509	so515	2	1	so0	so0	so0	so0	so2768	so0	2		100	so520	150	so0	so0	so0										0
mo12	so0	so0					so0	so0					so0	so529			so0	so0	so0	so0	so0	so0				so0		so0	so0	so0										0
mo13	so0	so0					so0	so0					so0	so0			so0	so0	so0	so0	so0	so0				so2682	600	so0	so0	so0										0
mo14	so532	so0			100		so552	so0			100	255	so537	so543	2	1	so0	so549	so0	so0	so0	so1155	2		100	so0		so0	so0	so0										0
mo15	so768	so286		5	80	180	so768	so274		6	80	170	so779	so0	2		so784	so0	so0	so0	so2816	so2868	2		100	so774	1800	so0	so0	so0										0
mo16	so555	so0			100		so571	so0			100	255	so559	so563	2	1	so0	so0	so0	so0	so2816	so0	2		100	so567	150	so0	so0	so0										0
mo17	so0	so0					so0	so0					so0	so593		1	so0	so0	so0	so0	so0	so0				so0		so0	so0	so0										0
mo18	so1040	so0			100		so1040	so0			100		so1044	so1048			so1049	so0	so0	so0	so2816	so1050	2		100	so0		so0	so0	so0										0
mo19	so597	so304		4	95	255	so597	so304		6	95	255	so601	so605	2		so0	so0	so0	so0	so2816	so2871	2		100	so1279	150	so0	so0	so0										0
mo20	so0	so0					so0	so0					so613	so617	2	1	so618	so0	so0	so0	so2768	so0	2		100	so0		so0	so4634	so0										0
mo21	so622	so0			100		so622	so0			100		so626	so633			so644	so0	so0	so0	so2720	so638	2		100	so0		so0	so0	so0										0
mo22	so0	so0					so0	so0					so0	so756		1	so0	so0	so0	so0	so0	so0				so0		so0	so0	so0										0
mo23	so0	so0					so0	so0					so1774	so2455			so1802	so0	so0	so0	so0	so0				so0		so0	so0	so0										0
mo24	so2142	so255		3	60	180	so2142	so255		6	60	180	so2146	so2150	2	1	so0	so0	so0	so0	so2816	so0	2		100	so2154	150	so0	so0	so0										0
