Id	hcIdx	BaseId	NextInClass	TransLvl	NameStr	MonStatsEx	MonProp	MonType	AI	DescStr	Code	enabled	rangedtype	placespawn	spawn	spawnx	spawny	spawnmode	minion1	minion2	SetBoss	BossXfer	PartyMin	PartyMax	MinGrp	MaxGrp	sparsePopulate	Velocity	Run	Rarity	Level	Level(N)	Level(H)	MonSound	UMonSound	threat	aidel	aidel(N)	aidel(H)	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	Align	isSpawn	isMelee	npc	interact	inventory	inTown	lUndead	hUndead	demon	flying	opendoors	boss	primeevil	killable	switchai	noAura	nomultishot	neverCount	petIgnore	deathDmg	genericSpawn	zoo	SendSkills	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	DamageRegen	SkillDamage	noRatio	NoShldBlock	ToBlock	ToBlock(N)	ToBlock(H)	Crit	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	TreasureClass1	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass1(N)	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass1(H)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	TCQuestId	TCQuestCP	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	*eol
ms0		ms0	ms1		Skeleton	ms0		mt8	ma2		SK	1													1	3		3	3	2	2	37	68	mo109	mo109	10	15	14	13				60	65	70	15	12	10	75	80	85	75	75	75																						1	1					1				1			1	1							1		sk158	mq8	1																									-50	-40	-25						50						75	33			100		75	2				10	10	10	5	86	129	84	86	34	101	101	34	101	101				70	100	100	85	40	100	120	40	105	125				70	100	100	85	40	100	120	40	105	125																																														Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
ms1	1	ms0	ms2	1	Returned	ms1		mt8	ma2		SK	1													2	3		4	4	2	6	38	69	mo109	mo109	10	15	14	13				70	75	80	12	10	7	80	85	90	25	25	25																						1	1					1				1			1	1							1		sk158	mq8	1																									-50	-40	-25						50						75	33					100	2				15	15	15	5	87	127	84	86	41	101	93	41	101	93				70	100	100	85	40	100	120	40	105	125				70	100	100	85	40	100	120	40	105	125																																														Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
ms2	2	ms0	ms3	2	BoneWarrior	ms2		mt8	ma2		SK	1													2	4		4	4	2	7	39	85	mo109	mo109	10	15	14	13				80	85	90	9	8	7	85	90	95	50	50	50																						1	1					1				1			1	1							1		sk158	mq8	1																									-50	-40	-25					40	50					60	75	33				110	75	2				20	20	20	5	89	124	84	85	41	121	94	41	121	94				70	100	100	85	40	100	120	40	105	125				70	100	100	85	40	100	120	40	105	125																																														Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
ms3	3	ms0	ms4	3	BurningDead	ms3		mt8	ma2		SK	1													2	4		5	5	2	13	43	74	mo109	mo109	10	15	14	13				90	95	95	7	6	5	90	95	99	66	66	66																						1	1					1				1			1	1							1		sk158	mq8	1																									-50	-40	-25			50			50			75			75	33		100			75	2				25	25	25	5	93	133	84	85	45	101	93	34	101	93				70	100	100	85	40	100	120	40	105	125				70	100	100	85	40	90	110	40	105	125				A1	fire	50	22	55		50	25	55		50	25	55																														Act 2 H2H A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A								0
ms4	4	ms0	ms648	4	Horror	ms4		mt8	ma2		SK	1													2	4		5	5	2	14	44	78	mo109	mo109	10	15	14	13				99	99	99	5	5	5	95	99	99	33	33	33																						1	1					1				1			1	1							1		sk158	mq8	1																									-50	-40	-25		20		60		50		40		80		75	33	70		120		75	2				30	30	30	5	94	131	84	85	41	101	94	31	101	94				70	100	100	85	40	100	120	40	105	125				70	100	100	85	40	100	120	40	95	115				A2	ltng	60	30	60		60	30	50		60	30	50																														Act 2 H2H A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A								0
ms5	5	ms5	ms6		Zombie	ms5		mt9	ma3		ZM	1													1	2		1	3	2	1	36	67	mo138	mo139	10	15	14	13				30	40	50	10	15	20				20	25	30																						1	1					1							1	1							1																										100	75	50	-50	-40	-25						50						75	50				120	75	2				3	3	3	5	101	181	84	111	51	151	101	101	151	101				105	150	80	105	60	140	105	70	150	110				105	150	80	105	60	140	105	70	150	110																																														Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
ms6	6	ms5	ms7	1	HungryDead	ms6		mt9	ma3		ZM	1													1	3		1	4	2	2	37	68	mo138	mo139	10	15	14	13				40	50	60	15	20	25				25	30	35																						1	1					1							1	1							1																										100	75	50	-50	-40	-25						50						75	50			110		75	2				4	4	4	5	101	186	84	111	34	101	101	101	134	101				105	150	80	105	60	140	105	70	150	110				105	150	80	105	60	140	105	70	150	110																																														Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
ms7	7	ms5	ms8	2	Ghoul	ms7		mt9	ma3		ZM	1													2	3		1	4	2	12	43	73	mo138	mo139	10	15	14	13				50	60	70	20	25	30				30	35	40																						1	1					1							1	1							1																										100	75	50	-50	-40	-25						50						75	50		100			75	2				13	13	13	5	108	197	84	109	51	138	93	113	163	93				105	150	80	105	60	140	105	70	150	110				105	150	80	105	60	140	105	70	150	110																																														Act 2 H2H C	Act 2 Champ C	Act 2 Unique C		Act 2 (N) H2H C	Act 2 (N) Champ C	Act 2 (N) Unique C		Act 2 (H) H2H C	Act 2 (H) Champ C	Act 2 (H) Unique C								0
ms8	8	ms5	ms9	3	DrownedCarcass	ms8		mt9	ma3		ZM	1													2	4		1	5	2	22	50	80	mo138	mo139	10	15	14	13				100	100	100	30	30	30				35	40	45																						1	1					1							1	1							1																										100	75	50	-50	-40	-25	20		50			50	50		75			75	50		110			75	2				22	22	22	5	107	192	85	109	51	136	94	108	165	94				105	150	80	105	60	140	105	70	150	110				105	150	80	105	55	135	105	70	150	110				A1	cold	75	21	42	25	75	20	40	75	75	20	40	100																													Act 3 H2H A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) H2H A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) H2H A	Act 3 (H) Champ A	Act 3 (H) Unique A								0
ms9	9	ms5		4	PlagueBearer	ms9		mt9	ma3		ZM	1													3	4		1	5	2	17	46	77	mo138	mo139	10	15	14	13				60	70	80	25	30	30				40	45	50																						1	1					1							1	1							1																										100	75	50	-50	-40	-25		50				50		75				75	50	100				75	2				17	17	17	5	109	192	84	109	55	137	92	101	164	92				105	150	80	105	60	140	105	70	150	110				105	150	80	105	55	135	105	70	150	110				A1	pois	50	27	54	400	50	25	25	400	50	25	25	400																													Act 2 H2H B	Act 2 Champ B	Act 2 Unique B		Act 2 (N) H2H B	Act 2 (N) Champ B	Act 2 (N) Unique B		Act 2 (H) H2H B	Act 2 (H) Champ B	Act 2 (H) Unique B								0
ms10	10	ms10	ms11		Afflicted	ms10		mt10	ma4		BH	1	1												2	3		6	6	1	12	43	73	mo16	mo16	10	15	14	13				88	75	75	40	30	30		20	30	60	70	80														ml2								1								1		1			1	1																																	100	85	75	-50	-40	-33				70						85		75	25			100			2				11	11	11	5	66	127	63	81	76	113	77							65	120	90	125	50	100	110							65	120	90	125	50	100	110							A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																Act 1 Cast C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) Cast C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) Cast C	Act 1 (H) Champ C	Act 1 (H) Unique C								0
ms11	11	ms10	ms12	1	Tainted	ms11		mt10	ma4		BH	1	1												2	4		6	6	1	11	42	72	mo16	mo16	10	15	14	13				86	100	100	40	40	40		30	40	60	70	80														ml3								1								1		1			1	1																																	100	85	75	-50	-40	-33				60						80		75	25			105			2				10	10	10	5	67	130	63	81	63	101	74							65	120	90	125	50	100	110							65	120	90	125	50	100	110							A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																Act 1 Cast C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) Cast C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) Cast C	Act 1 (H) Champ C	Act 1 (H) Unique C								0
ms12	12	ms10	ms13	2	Misshapen	ms12		mt10	ma4		BH	1	1												1	2		5	5	1	5	37	69	mo16	mo16	10	15	14	13				80	50	50	40	50	50		40	50	60	70	80														ml4								1								1		1			1	1																																	100	85	75	-50	-40	-33				40						70			25			110			2				5	5	5	5	62	124	64	81	76	101	73							65	120	90	125	50	100	110							65	120	90	125	50	100	110							A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																Act 1 Cast B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) Cast B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) Cast B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
ms13	13	ms10	ms14	3	Disfigured	ms13		mt10	ma4		BH	1	1												1	3		5	5	1	8	40	70	mo16	mo16	10	15	14	13				83			40	40	40		50	65	60	70	80														ml5								1								1		1			1	1																																	100	85	75	-50	-40	-33				50						75			25			115			2				8	8	8	5	67	128	63	81	67	101	77							65	120	90	125	50	100	110							65	120	90	125	50	100	110							A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																Act 1 Cast B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) Cast B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) Cast B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
ms14	14	ms10	ms580	4	Damned	ms14		mt10	ma4		BH	1	1												3	4		7	7	2	27	57	84	mo16	mo16	10	15	14	13				90	33	33	40	30	30		60	80	60	70	80														ml6								1								1		1			1	1																																	100	85	75	-50	-40	-33				80						100			25			120			2				22	22	22	5	65	126	63	88	71	106	75							65	120	90	125	50	100	110							65	120	90	125	50	100	110							A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																Act 4 Cast A	Act 4 Champ A	Act 4 Unique A		Act 4 (N) Cast A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) Cast A	Act 4 (H) Champ A	Act 4 (H) Unique A								0
ms15	15	ms15	ms16		FoulCrow	ms15		mt11	ma5		BK	1													2	4		4	4	2	4	37	68	mo59	mo59	10	15	14	13				30	45	65	90	90	90	5	10	10	50	60	70	100	100	100																			1	1								1				1	1																																	100	100	100	-50	-40	-33															25			100	2				5	5	5	5	19	46	13	37	26	51	89							20	45	120	40	70	110	115							20	45	120	40	70	110	115							A1	pois					15	10	33	100	25	10	33	100																													Act 1 Cast A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) Cast A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) Cast A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
ms16	16	ms15	ms17	1	BloodHawk	ms16		mt11	ma5		BK	1													3	4		4	4	2	6	38	69	mo59	mo59	10	15	14	13				30	50	65	90	90	90	5	10	10	50	60	75	100	100	100																			1	1								1				1	1																																	100	100	100	-50	-40	-33															25			105	2				7	7	7	5	21	41	14	37	41	61	93							20	45	120	40	70	110	115							20	45	120	40	70	110	115							A1	pois					15	10	33	100	25	10	33	100																													Act 1 Cast B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) Cast B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) Cast B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
ms17	17	ms15	ms18	2	BlackRaptor	ms17		mt11	ma5		BK	1													3	5		5	5	2	16	45	76	mo59	mo59	10	15	14	13				30	55	65	90	90	90	5	10	10	50	60	75	100	100	100																			1	1								1				1	1																																	100	100	100	-50	-40	-33						60						80			25			110	2				17	17	17	5	21	45	13	37	37	64	94							20	45	120	40	70	110	115							20	45	120	40	70	110	115							A1	pois					15	10	33	100	25	10	33	100																													Act 2 Cast B	Act 2 Champ B	Act 2 Unique B		Act 2 (N) Cast B	Act 2 (N) Champ B	Act 2 (N) Unique B		Act 2 (H) Cast B	Act 2 (H) Champ B	Act 2 (H) Unique B								0
ms18	18	ms15	ms590	3	CloudStalker	ms18		mt11	ma5		BK	1													4	5		6	6	2	22	49	79	mo59	mo59	10	15	14	13				30	60	65	90	90	90	5	10	10	50	60	75	100	100	100																			1	1								1				1	1																																	100	100	100	-50	-40	-33	30		20	60			40		50	80					50	100			2				22	22	22	5	22	44	13	36	36	72	94							20	45	120	40	70	110	115							20	45	120	40	70	110	115							A1	pois					15	10	33	100	25	10	33	100																													Act 3 Cast A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) Cast A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) Cast A	Act 3 (H) Champ A	Act 3 (H) Unique A								0
ms19	19	ms19	ms20		Fallen	ms19		mt12	ma6		FA	1							ms19		1	1	2	3	2	3		5	5	2	1	36	67	mo50	mo50	10	15	14	13				30	40	50	10	15	20	50	60	70	20	25	30																						1	1							1		1			1	1							1																										100	85	75	-50	-40	-33													15		100		40		2				9	9	9	5	21	61	84	61	51	101	101	51	101	101				25	55	70	65	45	90	90	50	100	85				25	55	70	65	45	90	90	50	100	85				A1	fire					10	20	30		20	20	30																														Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
ms20	20	ms19	ms21	1	Carver	ms20		mt12	ma6		FA	1							ms20		1	1	2	4	2	4		5	5	2	5	38	68	mo50	mo50	10	15	14	13				45	50	55	15	18	24	60	70	80	25	30	35																						1	1							1		1			1	1							1																										100	85	75	-50	-40	-33													15		110		40		2				16	16	16	5	24	54	84	61	51	101	91	51	101	91				25	55	70	65	45	90	90	50	100	85				25	55	70	65	45	90	90	50	100	85				A1	cold					10	15	20	150	20	15	20	200																													Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
ms21	21	ms19	ms22	2	Devilkin	ms21		mt12	ma6		FA	1							ms21		1	1	3	4	3	4		6	6	2	7	39	85	mo50	mo50	10	15	14	13				55	60	60	20	22	30	70	80	90	30	35	40																						1	1							1		1			1	1							1																										100	85	75	-50	-40	-33													15		120		40		2				25	25	25	5	18	53	84	59	41	101	94	41	101	94				25	55	70	65	45	90	90	50	100	85				25	55	70	65	45	90	90	50	100	85				A1	ltng					10	1	50		20	1	80																														Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
ms22	22	ms19	ms23	3	DarkOne	ms22		mt12	ma6		FA	1							ms22		1	1	3	5	3	5		6	6	2	10	41	71	mo50	mo50	10	15	14	13				65	70	70	25	26	30	80	90	95	35	40	45																						1	1							1		1			1	1							1																										100	85	75	-50	-40	-33													15		125		40		2				36	36	36	5	23	55	84	60	43	101	91	43	101	91				25	55	70	65	45	90	90	50	100	85				25	55	70	65	45	90	90	50	100	85				A1	pois					10	10	15	50	20	10	15	75																													Act 1 H2H C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) H2H C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) H2H C	Act 1 (H) Champ C	Act 1 (H) Unique C								0
ms23	23	ms19	ms642	4	WarpedFallen	ms23		mt12	ma6		FA	1							ms23		1	1	1	1	1	1		8	8	2	40	55	83	mo50	mo50	10	15	14	13				75	80	80	30	30	30	90	95	99	40	45	50																						1	1							1		1			1	1							1																										100	85	75	-50	-40	-33	50	50	50	50	50	50	66	66	66	66	66	66	25	75	75	75	75	75	2				49	49	49	5	21	55	84	93	45	93	93	45	97	93				25	55	70	65	45	90	90	50	100	85				25	55	70	65	45	90	90	50	100	85				A1	cold					10	20	25	175	10	20	25	225																													Act 5 H2H C	Act 5 Champ C	Act 5 Unique C		Act 5 (N) H2H C	Act 5 (N) Champ C	Act 5 (N) Unique C		Act 5 (H) H2H C	Act 5 (H) Champ C	Act 5 (H) Unique C								0
ms24	24	ms24	ms25		Brute	ms24		mt13	ma7		YE	1													1	2		4	4	1	5	38	69	mo24	mo24	10	15	14	13										75	75	80	100	100	90																						1	1									1			1	1							1																										100	100	100	-50	-40	-33													50				120		2				6	6	6	5	139	224	84	121	76	101	91	126	151	91				145	210	85	120	70	120	95	110	140	100				145	210	85	120	70	120	95	110	140	100																																														Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
ms25	25	ms24	ms26	1	Yeti	ms25		mt13	ma7		YE	1													2	2		4	4	1	9	40	70	mo24	mo24	10	15	14	13										80	80	85	85	85	75																						1	1									1			1	1							1																										100	100	100	-50	-40	-33					20						60		50				130		2				10	10	10	5	146	236	84	121	58	101	95	115	129	95				145	210	85	120	70	120	95	110	140	100				145	210	85	120	70	120	95	110	140	100																																														Act 1 H2H C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) H2H C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) H2H C	Act 1 (H) Champ C	Act 1 (H) Unique C								0
ms26	26	ms24	ms27	2	Crusher	ms26		mt13	ma7		YE	1													2	3		5	5	2	19	48	79	mo24	mo24	10	15	14	13										85	85	90	75	75	65																						1	1									1			1	1							1																										100	100	100	-50	-40	-33		60											50			50	140		2				19	19	19	5	143	231	84	120	62	101	93	108	139	93				145	210	85	120	70	120	95	110	140	100				145	210	85	120	70	120	95	110	140	100																																														Act 2 H2H C	Act 2 Champ C	Act 2 Unique C		Act 2 (N) H2H C	Act 2 (N) Champ C	Act 2 (N) Unique C		Act 2 (H) H2H C	Act 2 (H) Champ C	Act 2 (H) Unique C								0
ms27	27	ms24	ms28	3	WailingBeast	ms27		mt13	ma7		YE	1													3	4		5	5	1	23	53	84	mo24	mo24	10	15	14	13										90	90	95	60	60	50																						1	1									1			1	1							1																										100	100	100	-50	-40	-33		60	20					80	50				50	100	75				2				23	23	23	5	142	230	85	121	61	107	92	114	141	92				145	210	85	120	70	120	95	110	140	100				145	210	85	120	70	120	95	110	140	100				A1	fire					15	15	35		15	30	50																														Act 3 H2H B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) H2H B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) H2H B	Act 3 (H) Champ B	Act 3 (H) Unique B								0
ms28	28	ms24		4	GargantuanBeast	ms28		mt13	ma7		YE	1													1	1		3	3	1	2	36	68	mo24	mo24	10	15	14	13										100	100	100	45	45	35																						1	1									1			1	1							1																										100	100	100	-50	-40	-33													50				100		2				4	4	4	5	129	215	84	121	67	101	101	101	134	101				145	210	85	120	70	120	95	110	140	100				145	210	85	120	70	120	95	110	140	100																																														Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
ms29	29	ms29	ms30		SandRaider	ms29		mt14	ma8		SR	1													2	3		5	5	1	13	43	74	mo102	mo102	10	15	14	13							70	70	40	75	80	85	70	75	85	18	12	9				50	50	50													1	1									1			1	1							1		sk156	mq4	1																						100	75	66	-50	-45	-40													25		100	50		33	2				25	25	25	5	136	211	84	117	67	101	175	110	140	180	80	100	250	135	180	110	130	65	110	175	110	140	180	80	100	250	135	180	110	130	65	110	175	110	140	180	80	100	250	S1	fire	100	100	130		100	120	150		100	140	180																														Act 2 H2H A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A								0
ms30	30	ms29	ms31	1	Marauder	ms30		mt14	ma8		SR	1													2	4		5	5	1	17	46	77	mo102	mo102	10	15	14	13							70	60	20	80	85	90	70	75	85	15	10	7	1	1	1	50	50	50													1	1									1			1	1							1		sk156	mq4	2																						100	75	66	-50	-45	-40													25		50		100	33	2				32	32	32	5	134	212	84	117	64	101	175	110	140	180	80	100	250	135	180	110	130	65	110	175	110	140	180	80	100	250	135	180	110	130	65	110	175	110	140	180	80	100	250	S1	cold	100	100	130	75	100	120	150	75	100	140	180	75																													Act 2 H2H B	Act 2 Champ B	Act 2 Unique B		Act 2 (N) H2H B	Act 2 (N) Champ B	Act 2 (N) Unique B		Act 2 (H) H2H B	Act 2 (H) Champ B	Act 2 (H) Unique B								0
