npc	buy mult	sell mult	rep mult	questflag A	questbuymult A	questsellmult A	questrepmult A	questflag B	questbuymult B	questsellmult B	questrepmult B	questflag C	questbuymult C	questsellmult C	questrepmult C	max buy	max buy (N)	max buy (H)
ms147	512	1088	128	4	1024	922	1024									5000	30000	35000
ms154	512	960	128	4	1024	922	1024									5000	30000	35000
ms148	512	1024	128	4	1024	922	1024									5000	30000	35000
ms202	512	1024	128	9	1024	922	1024									10000	30000	35000
ms177	512	1024	128	9	1024	922	1024									10000	30000	35000
ms199	512	1024	128	9	1024	922	1024									10000	30000	35000
ms178	512	1024	128	9	1024	922	1024									10000	30000	35000
ms253	512	1024	128	17	1024	922	1024									15000	30000	35000
ms254	512	1024	128	17	1024	922	1024									15000	30000	35000
ms255	512	1024	128	17	1024	922	1024									15000	30000	35000
ms252	512	1024	128	17	1024	922	1024									15000	30000	35000
ms405	512	1024	128	41	1024	922	1024									20000	30000	35000
ms257	512	1024	128	41	1024	922	1024									20000	30000	35000
ms513	512	2048	128	41	1024	922	1024	35	1024	512	1024					25000	30000	35000
ms512	512	2048	128	41	1024	922	1024	35	1024	512	1024					25000	30000	35000
ms511	512	2048	128	41	1024	922	1024	35	1024	512	1024					25000	30000	35000
ms514	512	2048	128	41	1024	922	1024	35	1024	512	1024					25000	30000	35000
