Name	description - not loaded	Id	Token	SpawnMax	Selectable0	Selectable1	Selectable2	Selectable3	Selectable4	Selectable5	Selectable6	Selectable7	TrapProb	SizeX	SizeY	nTgtFX	nTgtFY	nTgtBX	nTgtBY	FrameCnt0	FrameCnt1	FrameCnt2	FrameCnt3	FrameCnt4	FrameCnt5	FrameCnt6	FrameCnt7	FrameDelta0	FrameDelta1	FrameDelta2	FrameDelta3	FrameDelta4	FrameDelta5	FrameDelta6	FrameDelta7	CycleAnim0	CycleAnim1	CycleAnim2	CycleAnim3	CycleAnim4	CycleAnim5	CycleAnim6	CycleAnim7	Lit0	Lit1	Lit2	Lit3	Lit4	Lit5	Lit6	Lit7	BlocksLight0	BlocksLight1	BlocksLight2	BlocksLight3	BlocksLight4	BlocksLight5	BlocksLight6	BlocksLight7	HasCollision0	HasCollision1	HasCollision2	HasCollision3	HasCollision4	HasCollision5	HasCollision6	HasCollision7	IsAttackable0	Start0	Start1	Start2	Start3	Start4	Start5	Start6	Start7	EnvEffect	IsDoor	BlocksVis	Orientation	Trans	OrderFlag0	OrderFlag1	OrderFlag2	OrderFlag3	OrderFlag4	OrderFlag5	OrderFlag6	OrderFlag7	PreOperate	Mode0	Mode1	Mode2	Mode3	Mode4	Mode5	Mode6	Mode7	Yoffset	Xoffset	Draw	Red	Green	Blue	HD	TR	LG	RA	LA	RH	LH	SH	S1	S2	S3	S4	S5	S6	S7	S8	TotalPieces	SubClass	Xspace	Yspace	NameOffset	MonsterOK	OperateRange	ShrineFunction	Restore	Parm0	Parm1	Parm2	Parm3	Parm4	Parm5	Parm6	Parm7	Act	Lockable	Gore	Sync	Flicker	Damage	Beta	Overlay	CollisionSubst	Left	Top	Width	Height	OperateFn	PopulateFn	InitFn	ClientFn	RestoreVirgins	BlockMissile	DrawUnder	OpenWarp	AutoMap
Dummy	test data	0	NU																																																	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																			255	255	255		1															1								1												1	0	100																
Casket	Casket #5	1	C5	1	1								20	5	3		3			1	7	1							256																							1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1				6									3											1	1	1								1	255	255	255		1															1	8	5	5	-90	1	6		1									1			1	0	100	1							1	1							
Shrine	Shrine	2	SF		1									3	3					1	21	1							128																17							1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1				20									3											1	1	1								1	255	255	255		1															1	1			-145		2		1	3	84							1			1	0	100	1			3	84			2	2	1						310
Casket	Casket #6	3	C6	1	1									5	3		3			1	7	1							256																							1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1				6									3											1	1	1								1	255	255	255		1															1	8	5	5	-73	1	4		1									1			1	0	100	1							1	1							
LargeUrn	Urn #1	4	U1	1	1									1	1					1	9	1	1	1	1	1	1	256	256	256	256	256	256	256	256																	1	1		1	1	1	1	1	1								1			8									3										1	1	1	1								1	255	255	255		1															1	8	1	1	-57	1	2		1									2			1	0	100								3	1	2		1		1		
chest	LargeChestR	5	L1	2	1								15	1	2					1	1	1	1	1	1	1	1	256	256	256	256	256	256	256	256																	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1			1	1									3											1		1								1	255	255	255		1															1	8			-50	1	2		1	15								7	1		1	0	100	1			15				4	3	3		1				
chest	LargeChestL	6	L2	2	1								15	2	1					1	1	1	1	1	1	1	1	256	256	256	256	256	256	256	256																	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1			1	1									3											1		1								1	255	255	255		1															1	8			-50	1	2		1	15								7	1		1	0	100	1			15				4	3	3		1				
Barrel	Barrel	7	B1	1	1			1	1	1	1	1		1	1					1	10	1						210	160		256	256	256	256	256																	1	1		1	1	1	1	1	1								1			9									3										1	1	1	1								1	255	255	255		1															1		2	2	-70	1	2		1									1			1	0	100	1							5	4			1		1		
TowerTome	Tower Tome	8	TT		1	1	1							1	1					1	3	1	1					256	256	128	128	128	128	128	128																	1	1	1	1					1	1	1	1							1	3									1											1	1	1	1							1	255	255	255		1															1				-80		2		1									1			1	0	100	1							6		4						427
Urn	Urn #2	9	U2	1	1									1	1					1	9	1	1	1	1	1	1	256	256	256	256	256	256	256	256																	1	1		1	1	1	1	1	1								1			8									3										1	1	1	1								1	255	255	255		1															1		1	1	-70	1	2		1									2			1	0	100								3	1	2		1		1		
