GroupName	Offset	ID0	DENSITY0	PROB0	ID1	DENSITY1	PROB1	ID2	DENSITY2	PROB2	ID3	DENSITY3	PROB3	ID4	DENSITY4	PROB4	ID5	DENSITY5	PROB5	ID6	DENSITY6	PROB6	ID7	DENSITY7	PROB7	SHRINES	WELLS
og0	0																										
og1	1	54	30	25	55	30	25	56	30	25	57	30	25														
og2	2	130		75	164																					1	1
og3	3	5	48	50	6	48	50																				
og4	4	54	30	37	55	30	37	56	30	26																	
og5	5	279		25	280		25	281		25	282		25													1	
og6	6	138		25	275		25	276		25	277		25													1	1
og7	7	3	125	75	28	125	25																				
og8	8	77		50	165		50																			1	
og9	9	5	48	20	6	48	20	240	30	20	241	30	20	242	30	20											
og10	10	7	64	100																							
og11	11	3	125	100																							
og12	12	77		100																						1	
og13	13	7	64	100																							
og14	14	77		25	84		25	165		25	260		25													1	
og15	15	7	64	100																							
og16	16	79	80	33	53	80	33	1	80	33																	
og17	17	132		100																							1
og18	18	86		12	134		12	135		12	136		12	150		13	151		13	172		13	173		13	1	
og19	19	85		20	166		20	150		20	151		20	322		20										1	1
og20	20																										
og21	21																									1	
og22	22	116		100																						1	
og23	23	86		34	85		34	166		34																1	
og24	24	87	30	20	88	30	20	148	30	20	146	30	20	147	30	20											
og25	25	301		50	302		50																			1	
og26	26	244	30	25	246	30	25	225	30	25	283	30	25														
og27	27																										
og28	28																										
og29	29	4	120	100																							
og30	30																										1
og31	31	130		100																							1
og32	32	154	30	50	270	30	50																				
og33	33	139	30	25	140	30	50	144	30	25																	
og34	34	141	30	50	139	30	50																				
og35	35	266	30	100																							
og36	36	178	30	50	171	30	50																				
og37	37	142	30	33	143	30	33	4	30	34																	
og38	38	155	30	34	174	30	33	175	30	33																	
og39	39																									1	
og40	40	181	30	20	183	30	20	185	30	20	186	30	20	187	30	20											
og41	41																									1	
og42	42	188	30	20	187	30	20	186	30	20	208	30	20	272	30	20											
og43	43	184		16	190		16	191		16	197		16	168		16	170		20							1	
og44	44	239	30	50	245	30	50																				
og45	45	250	30	20																							
og46	46	226		20	231		20	232		20	236		20	249		20										1	
og47	47	222	30	16	225	30	16	233		16	363	30	16	372	30	16	380	30	20								
og48	48	125	30	20	126	30	20	127	30	20	128	30	20														
og49	49	93		20	96		20	97		20	123		20	124		20										1	
og50	50	262		12	260		12	263		12	264		12	265		12	165		12	77		12	132		14	1	1
og51	51	263		12	260		12	263		12	264		12	265		12	165		12	77		12	132		14	1	1
og52	52	188	30	20	187	30	20	186	30	20	208	30	20	271	30	20											
og53	53	387	30	20	388	30	20	389	30	20	390	30	20	391	30	20											
og54	54																										
og55	55	4	30	20	176	30	20	154	30	10	270	30	10	314	30	10	315	30	10	316	30	10	317	30	10		
