overlay	Filename	version	Frames	Character	PreDraw	1ofN	Dir	Open	Beta	Xoffset	Yoffset	Height1	Height2	Height3	Height4	AnimRate	LoopWaitTime	Trans	InitRadius	Radius	Red	Green	Blue	NumDirections	LocalBlood
ol0	null		2	all		1		1	1							16		3			255	255	255	1	
ol1	ShockHitSm		20	?		1		1	1							16		3	11	11	255	255	255	1	
ol2	AuraResistFireFrontCast		11	Paladin	1	1		1	1							16		3	1	10	255	193	103	1	
ol3	AuraResistFireFront		20	Paladin	1	1		1	1							16		3	6	6	255	193	103	1	
ol4	AuraResistColdBackCast		11	Paladin		1		1	1							16		3	1	10	210	210	255	1	
ol5	AuraResistColdBack		20	Paladin	1	1		1	1							16		3	6	6	210	210	255	1	
ol6	AuraResistLightningBackCast		11	Paladin		1		1	1							16		3	1	10	255	255	200	1	
ol7	AuraResistLightningBack		20	Paladin	1	1		1	1							16		3	6	6	255	255	200	1	
ol8	AuraResistAllCast		20	Paladin	1	1										16		3	1	10	211	148	255	1	
ol9	AuraResistAllFront		20	Paladin		1										16		3	6	6	211	148	255	1	
ol10	AuraResistAllBack		20	Paladin	1	1										16		3	6	6	211	148	255	1	
ol11	AuraMightFront		15	Paladin		1		1	1	4						16		3			255	255	255	1	
ol12	AuraMightBack		15	Paladin	1	1		1	1	4						16		3			255	255	255	1	
ol13	AuraPrayerFront		16	Paladin		1		1	1							8		3			255	255	255	1	
ol14	AuraPrayerBack		16	Paladin	1	1		1	1							8		3			255	255	255	1	
ol15	AuraHolyFireFront		12	Paladin		1		1	1							16		3			255	255	255	1	
ol16	AuraHolyFireBack		12	Paladin	1	1		1	1							16		3			255	255	255	1	
ol17	AuraHolyFireHit		12	Paladin		1		1	1							16		3			255	255	255	1	
ol18	AuraHfireIndicate		19	Paladin		1		1	1							16		3			255	255	255	1	
ol19	AuraThornsFront		18	Paladin		1		1	1							16		3			255	255	255	1	
ol20	AuraThornsBack		18	Paladin	1	1		1	1							16		3			255	255	255	1	
ol21	AuraThornsHit		10	Paladin		1		1	1							16		3			255	255	255	1	
ol22	AuraHfireIndicate		19	Paladin		1		1	1							16		3			255	255	255	1	
ol23	AuraDefianceFront		15	Paladin		1		1	1							8		3			255	255	255	1	
ol24	AuraDefianceBack		15	Paladin	1	1		1	1							8		3			255	255	255	1	
ol25	AuraFanatic		20	Paladin	1	1										16		3			255	255	255	1	
ol26	OverlayH		17	?		1		1	1							16		3			255	255	255	1	
ol27	AmazonHealSpell		20	Amazon		1		1	1							16		3	1	8	255	184	199	1	
ol28	HolyBoltCloud		16	?		1		1	1							16		3						1	
ol29	FireCast_for_Sorceress		14	Sorceress		1		1	1							16		3	1	9	255	178	64	1	
ol30	FireCast2		16	Sorceress		1		1	1							16		3	1	9	255	178	64	1	
ol31	IceCastNew01		15	Sorceress		1		1	1							16		3	1	9	81	81	255	1	
ol32	IceCastNew02		15	Sorceress		1		1	1							16		3	1	9	81	81	255	1	
ol33	IceCastNew03		15	Sorceress		1		1	1							16		3	1	9	81	81	255	1	
ol34	LightningCast		10	Sorceress		1		1	1							16		3	1	9	255	255	255	1	
ol35	FireExplode		12	?		1		1	1							16		3	14	14	255	193	103	1	
ol36	IceExplode		16	?		1		1	1							16		3	14	14	210	210	255	1	
ol37	Warmth		14	?		1		1	1							16		3	1	8	255	193	103	1	
ol38	FrozenArmor		24	Sorceress		1		1	1							16		3	1	13	200	200	255	1	
ol39	FrozenArmor		24	Sorceress		1		1	1							16		3	1	13	200	200	255	1	
ol40	FrozenArmor		24	Sorceress		1		1	1							16		3	1	13	200	200	255	1	
ol41	AuraResistColdCast		11	Sorceress	1	1						14		-14	-60	24		3	1	6	81	81	255	1	
ol42	AuraResistColdCast		11	Sorceress	1	1						14		-14	-60	24		3	1	6	81	81	255	1	
ol43	AuraResistColdCast		11	Sorceress	1	1		1	1			14		-14	-60	24		3	1	6	81	81	255	1	
ol44	AuraResistColdCast		11	Sorceress	1	1						14		-14	-60	24		3	1	6	81	81	255	1	
ol45	Teleport		18	Sorceress		1										16		3	1	5	255	255	200	1	
ol46	SRFireHit		16	Sorceress		1		1	1							16		3			255	193	103	1	
ol47	EOZCast		29	Amazon		1		1	1							16		3	1	6	255	255	255	1	
ol48	HardenArmor		24	Amazon		1		1	1							16		3	6	6	255	255	255	1	
ol49	HOAcast		21	Amazon		1		1	1							16		3	1	6	255	255	255	1	
ol50	HOAmissileExplode		9	Amazon		1										16		3	2	2	255	255	255	1	
ol51	FOACast		20	Amazon		1										16		3	1	6	255	255	255	1	
ol52	DurielBloodsplatOverlayFwd		26	?	1	1										8		5			255	255	255	1	1
ol53	FamiliarCast		21	Necro		1		1	1							16		3			255	255	255	1	
ol54	impacting01		4	all		3		1	1			14		-14	-60	16		3			255	255	255	1	
