code	*done	set1	val1	func1	stat1	set2	val2	func2	stat2	set3	val3	func3	stat3	set4	val4	func4	stat4	set5	val5	func5	stat5	set6	val6	func6	stat6	set7	val7	func7	stat7	*desc	*param	*min	*max	*notes	*eol
pr0	1			1	is31																													none	0
pr1	1			1	is32																													none	0
pr2	1			1	is33																													none	0
pr3	1			1	is34																													none	0
pr4	1			1	is36																													none	0
pr5	1			2	is16																													none	0
pr6	1			1	is35																													none	0
pr7	1			1	is0																													none	0
pr8	1			1	is2																													none	0
pr9	1			1	is3																													none	0
pr10	1			1	is1																													none	0
pr11	1			1	is9																													none	0
pr12	1			1	is77																													none	0
pr13	1			1	is7																													none	0
pr14	1			1	is76																													none	0
pr15	1			1	is19																													none	0
pr16	1			1	is20																													none	0
pr17	1			1	is54																													none	0
pr18	1			1	is55																													none	0
pr19	1			1	is56																													none	0
pr20	1			1	is48																													none	0
pr21	1			1	is49																													none	0
pr22	1			1	is50																													none	0
pr23	1			1	is51																													none	0
pr24	1			1	is57																													none	0
pr25	1			1	is58																													none	0
pr26	1			1	is59																													none	0
pr27	1			5																														none	0
pr28	1			6																														none	0
pr29	1			7																														none	0
pr30	1			1	is114																													none	0
pr31	1			1	is39																													none	0
pr32	1			1	is40																													none	0
pr33	1			1	is41																													none	0
pr34	1			1	is42																													none	0
pr35	1			1	is43																													none	0
pr36	1			1	is44																													none	0
pr37	1			1	is37																													none	0
pr38	1			1	is38																													none	0
pr39	1			1	is45																													none	0
pr40	1			1	is46																													none	0
pr41	1			1	is39			3	is41			3	is43			3	is45																	none	0
pr42	1			1	is40			3	is42			3	is44			3	is46																	none	0
pr43	1			1	is142																													none	0
pr44	1			1	is143																													none	0
pr45	1			1	is144																													none	0
pr46	1			1	is145																													none	0
pr47	1			1	is146																													none	0
pr48	1			1	is147																													none	0
pr49	1			1	is148																													none	0
pr50	1			1	is149																													none	0
pr51	1			1	is73																													none	0
pr52	1			13	is75																													none	0
pr53	1			1	is74																													none	0
pr54	1			1	is78																													none	0
pr55	1			8	is93																													none	0
pr56	1			8	is93																													none	0
pr57	1			8	is93																													none	0
pr58	1			1	is79																													none	0
pr59	1			1	is80																													none	0
pr60	1			1	is81																													none	0
pr61	1			1	is28																													none	0
pr62	1			1	is27																													none	0
pr63	1			1	is11																													none	0
