Name	Rune Name	complete	server	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*runes	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	eol
Runeword1	Ancient's Pledge	1		shld										r08	r09	r07				pr35		30	30	pr41		13	13	pr5		50	50	pr30		10	10													0
Runeword6	Black	1		club	hamm	mace	h2h							r10	r16	r04				pr108		40	40	pr29		120	120	pr56		15	15	pr6		2	2	pr15		200	200	pr243	sk74	12	4					0
Runeword44	Fury	1		mele									JahGulEth	r31	r25	r05				pr29		239	299	pr56		40	40	pr242		1	1	pr107		33	66	pr66		6	6	pr113		33	66	pr123	sk147	5	5	0
Runeword54	Holy Thunder	1		scep										r05	r08	r09	r07			pr29		60	60	pr135		20	60	pr28		10	10	pr33		60	60	pr34		5	5	pr123	sk118	3	3	pr243	sk53	60	7	0
Runeword55	Honor	1		mele										r11	r01	r06	r03	r12		pr29		160	160	pr53		10	10	pr104		1	1	pr15		200	200	pr113		25	25	pr7		10	10					0
Runeword65	King's Grace	1		swor	scep	h2h								r11	r08	r10				pr29		100	100	pr15		150	150	pr98		100	100	pr99		50	50	pr100		100	100	pr101		100	100					0
Runeword72	Leaf	1		staf										r03	r08					pr103		3	3	pr141		16	16	pr35		33	33	pr123	sk41	3	3	pr123	sk36	3	3	pr123	sk37	3	3					0
Runeword74	Lionheart	1		tors									HelLumFal	r15	r17	r19				pr7			15	pr9		10	20	pr8		10	15	pr29		80	110	pr13		50	50	pr41		20	30					0
Runeword75	Lore	1		helm									OrtSol	r09	r12					pr10		5	10	pr104		1	1	pr73		2	2	pr110		1	1													0
Runeword81	Malice	1		mele									IthElEth	r06	r01	r05				pr107		100	100	pr97		-100	-100	pr94		1	1	pr29		33	33	pr73		-1	-1	pr53		-5	-5	pr332		2	2	0
Runeword82	Melody	1		miss										r13	r18	r04				pr29		100	150	pr124		3	3	pr123	sk9	3	3	pr123	sk13	3	3	pr123	sk17	3	3	pr99		300	300					0
Runeword83	Memory	1		staf										r17	r16	r12	r05			pr12		20	40	pr6		7	7	pr5		50	50	pr86		33	33	pr70		3	3	pr123	sk58	3	3	pr123	sk42	2	2	0
Runeword88	Nadir	1		helm									NefTir	r04	r03					pr5		50	50	pr0		10	10	pr73		-3	-3	pr243	sk264	9	13	pr58		-33	-33	pr7		5	5	pr110		1	3	0
Runeword116	Radiance	1		helm									NefSolIth	r04	r12	r06				pr73		5	5	pr10		10	10	pr9		10	10	pr29		20	40	pr11		33	33	pr5		75	75					0
Runeword120	Rhyme	1		shld									ShaelEth	r13	r05					pr83		20	20	pr16		20	20	pr41		25	25	pr115		1	1	pr58		50	50	pr59		25	25					0
Runeword126	Silence	1		weap										r14	r02	r15	r24	r03	r26	pr65		4	4	pr91		33	33	pr29		275	375	pr367		20	20	pr41		50	50	pr104		2	2	pr125	sk103	15	18	0
Runeword128	Smoke	1		tors									NefLum	r04	r17					pr1		250	250	pr5		75	75	pr41		30	50	pr80		20	20	pr73		-1	-1	pr243	sk443	18	6					0
