index	set	item	*item	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	*eol
Civerb's Ward	se0	lrg	Large Shield	7	13	9	lyel	lyel			so0		so0	5	2500	1	pr0	0	30	60	pr16	0	15	15																													pr11	0	21	22					pr39	0	25	26																													0
Civerb's Icon	se0	amu	Amulet	7	13	9	lyel	lyel			so0		so0	5	2500	2	pr62	0	40	40	pr53	0	10	20																													pr35	0	25	25					pr4	0	10	10																													0
Civerb's Cudgel	se0	gsc	Grand Scepter	7	13	9	lyel	lyel			so0		so0	5	2500		pr15	0	75	75	pr28	0	17	23	pr268	358	100	1																									pr145	8																																							0
Hsarus' Iron Heel	se1	mbt	Chain Boots	7	4	3	dred	dred			so0		so0	5	2500	2	pr31	0	25	25	pr77	0	20	20																													pr151	20																																							0
Hsarus' Iron Fist	se1	buc	Buckler	7	4	3	dred	dred			so0		so0	5	2500	2	pr3	0	2	2	pr7	0	10	10																													pr141	20			pr268	0	1	1																																	0
Hsarus' Iron Stay	se1	mbl	Belt	7	4	3	dred	dred			so0		so0	5	2500	2	pr35	0	20	20	pr13	0	20	20																													pr141	20																																							0
Cleglaw's Tooth	se2	lsd	Long Sword	7	6	4	lred	lred			so0		so0	5	2500	2	pr96	0	30	30	pr113	0	50	50	pr268	358	100	1																									pr145	10																																							0
Cleglaw's Claw	se2	sml	Small Shield	7	6	4	lred	lred			so0		so0	5	2500	2	pr0	0	17	17	pr88	0	75	75																													pr41	0	15	15																																					0
Cleglaw's Pincers	se2	mgl	Chain Gloves	7	6	4	lred	lred			so0		so0	5	2500	2	pr60	0	1	1	pr114	0	25	25	pr24	0	52	52	pr25	0	52	52	pr26	0	75	75																	pr151	20																																							0
Iratha's Collar	se3	amu	Amulet	7	21	15	lgry	lgry			so0		so0	5	2500	2	pr39	0	30	30	pr88	0	75	75																													pr41	0	15	15					pr67	0	1	1																													0
Iratha's Cuff	se3	tgl	Light Gauntlets	7	21	15	lgry	lgry			so0		so0	5	2500	2	pr35	0	30	30	pr95	0	1	1	pr118	0	15	15																									pr56	0	20	20																																					0
