skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	ListPool	IconCel	str name	str short	str long	str alt	str mana	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	eol
sd0						2	skillname0	skillsd0	skillld0	skillan0		1												2																																																																																									0
sd1				-1			skillname1	skillsd1	skillld1	skillan1		2																																																																																																					0
sd2						6	skillname2	skillsd2	skillld2	skillan2		3												3																																																																																									0
sd3						4	skillname3	skillsd3	skillld3	skillan3																																																																																																							0
sd4						12	skillname4	skillsd4	skillld4	skillan4		4												4																																																																																									0
sd5				-1		10	skillname5	skillsd5	skillld5	skillan5																																																																																																							0
sd6	1	1	2	1			skillname6	skillsd6	skillld6	skillan6	StrSkill3	26												1				1			10		11					47	StrSkill39		enma/2	exma/2	8					7	StrSkill9		1+lvl/par2		66	Convphy2elemalt		50		73	WeapDamsk		1	2																40	Sksyn	skillname6	2		63	skillname8	Magdplev	par8		63	skillname17	Magdplev	par8		63	skillname22	Magdplev	par8																	0
sd7	1	2	3	1		2	skillname7	skillsd7	skillxld7	skillan7	StrSkill3	26												1				1					11					47	StrSkill5		enma/2	exma/2	8					7	StrSkill9		2+lvl/par2		66	Convphy2magalt		50		73	WeapDamsk		1	2																40	Sksyn	skillname7	2		63	skillname6	Firedplev	par8		63	skillname27	Firedplev	par7																						0
sd8	2	1	1	2		4	skillname8	skillsd8	skillld8	skillan8	StrSkill3																	1					19	StrSkill18		min(ln56,27)		5	StrSkill25		-edmn		3	EnemyAtkRateStr	percent	-min(lvl*par7,40)		12	StrSkill20		ln34																																																														0
sd9	2	1	3	2		6	skillname9	skillsd9	skillld9	skillan9	StrSkill3																	7	StrSkill24		dm12																																																																																		0
sd10	3	1	1	3		8	skillname10	skillsd10	skillld10	skillan10	StrSkill3	7	clc1											1				1					2	StrSkill4	StrSkill23	clc1		2	StrSkill22	StrSkill23	toht																	25	StrSkill61																			40	Sksyn	skillname10	2		63	skillname30	Damplev	par8																											0
sd11	1	2	1	1		10	skillname11	skillsd11	skillxld11	skillan11	StrSkill3	26												1				1					31	StrSkill13		edln/4		47	StrSkill6		enma/4	exma/4	8					7	StrSkill9		2+lvl/par2		66	Convphy2magalt		50		73	WeapDamsk		1	4																40	Sksyn	skillname11	2		63	skillname6	Colddplev	par8		63	skillname21	Colddplev	par7																						0
sd12	1	2	2	1		12	skillname12	skillsd12	skillld12	skillan12	StrSkill3	5												1				1					9					7	StrSkill9		min(24,ln12)		8																																																																						0
sd13	2	4	2	2		14	skillname13	skillsd13	skillld13	skillan13	StrSkill3																	7	StrSkill24		dm12																											7	StrPercentFHR		4+blvl		18	StrDodgeFHR																																																	0
sd14	3	2	2	3		16	skillname14	skillsd14	skillld14	skillan14	StrSkill3	5												1	ml693			1					59	NovaDmgStr		m1en	m1ex	10					9					8										18	StrPowerStrikeNova																			40	Sksyn	skillname14	2		63	skillname34	Ltngdplev	par8		63	skillname34	NovaLtngdplev	par8		63	skillname20	Ltngdplev	par8		63	skillname20	NovaLtngdplev	par8												0
sd15	3	1	3	3		18	skillname15	skillsd15	skillld15	skillan15	StrSkill3	22												1				1					14																																													40	Sksyn	skillname15	2		63	skillname25	Poisdplev	par8		63	skillname19	Poisdplev	par8																						0
sd16	1	4	3	1		20	skillname16	skillsd16	skillxld16	skillan16	StrSkill3	6												1				1					11					10					9					8										19	StrSkill18		par1+blvl/4																	40	Sksyn	skillname16	2		63	skillname6	Firedplev	par7		63	skillname27	Firedplev	par8																						0
sd17	2	3	1	2		22	skillname17	skillsd17	skillld17	skillan17	StrSkill3																	1					19	StrSkill18		ln56		3	StrSkill67	StrSkill23	max(ln12,25)		12	StrSkill20		ln34		3	SlowMoveStr	percent	-min(ln78,65)																																																														0
sd18	2		2	2		24	skillname18	skillsd18	skillld18	skillan18	StrSkill3																	7	StrSkill24		dm12																																																																																		0
sd19	3	2	1	3		26	skillname19	skillsd19	skillld19	skillan19	StrSkill3													1				51	eskillincasemasteryX		macr		2	StrSkill4	StrSkill23	madm																																																																													0
sd20	3	3	3	3		28	skillname20	skillsd20	skillld20	skillan20	StrSkill3	21																1					11					10					9					8										66	Convphy2magalt		100		73	WeapDamsk		3	4											40	Sksyn	skillname20	2		63	skillname14	Ltngdplev	par8		63	skillname35	Ltngdplev	par8																						0
sd21	1	3	1	1		30	skillname21	skillsd21	skillxld21	skillan21	StrSkill3	5												1				1					12	StrSkill62		edln		10					9					8																														40	Sksyn	skillname21	2		63	skillname6	Colddplev	par6		63	skillname11	Colddplev	par8		63	skillname31	Colddplev	par8							63	skillname11	FrezLenplev	par7		63	skillname31	FrezLenplev	par7		0
sd22	1	4	2	1		32	skillname22	skillsd22	skillld22	skillan22	StrSkill3	7	ln34															1					2	StrSkill4	StrSkill23	ln34																						66	Convphy2elemalt		skill('sk6'.blvl)/2																	40	Sksyn	skillname22	2		42	skillname6	MagdConvplev	0	5																										0
sd23	2	5	3	2		34	skillname23	skillsd23	skillld23	skillan23	StrSkill3																	2	StrSkill10	StrSkill23	ln12																											7	StrPercTargetDef		-1*(par3+blvl)		18	StrPenTgtDef																																																	0
sd24	3	4	2	3		36	skillname24	skillsd24	skillld24	skillan24	StrSkill3	17																1					10					9					3	StrSkill72	StrSkill73	par1+lvl/par2																																40	Sksyn	skillname24	2		63	skillname14	Ltngdplev	par8		63	skillname34	Ltngdplev	par8		63	skillname35	Ltngdplev	par8																	0
sd25	3	4	3	3		38	skillname25	skillsd25	skillld25	skillan25	StrSkill3	22												1				1					14					2	StrSkill22	StrSkill23	toht																																					40	Sksyn	skillname25	2		63	skillname15	Poisdplev	par8		63	skillname19	Poisdplev	par8/2																						0
sd26	1	5	2	1		40	skillname26	skillsd26	skillld26	skillan26	StrSkill3	7	ln12											1				1					2	StrSkill4	StrSkill23	ln12		3	StrSkill86	StrSkill87	min(lvl+par3,par4)		8																																																																						0
sd27	1	6	3	1		42	skillname27	skillsd27	skillxld27	skillan27	StrSkill3	6												1	ml230			1					22					23	StrSkill82				24	StrSkill83				2	StrSkill22	StrSkill23	toht																											40	Sksyn	skillname27	2		63	skillname6	AFDImm	16		63	skillname16	Firedplev	par8		63	skillname7	Firedplev	par8																	0
sd28	2	4	1	2		44	skillname28	skillsd28	skillld28	skillan28	StrSkill3																	1					12	StrSkill20		ln12		2	StrSkill42	StrSkill23	lvl*par4																																																																								0
sd29	2	2	2	2		46	skillname29	skillsd29	skillld29	skillan29	StrSkill3																	6	StrPercentMoveSpeed		min(9+lvl,45)		7	StrSkill24		dm12																																																																													0
