skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
sk0			sd0	1	1																																																																								so0	so0			so0	so0	so0		so0		so0				1	1																				both		weap			tpot							A1	A1	A1				1		1	1								1								so0			1									1					1		1					8			1					1			1																										1								8	128																																				
sk1	1		sd1	2	2																																																																								so0	so0			so0	so0	so0		so0		so0																									h2h	4											KK	KK	xx						1	1							1									so0			1																					8											1																										1							1	8																																					
sk2	2		sd2	65	3																																																																								so0	so0			so0	so0	so0		so0		so0				2	2																				rng		thro										TH	TH	xx				1																			so0			1														1		2					8			1								1																										1								8	128																																				
sk3	3		sd3	3	4																																																																								so0	so0			so0	so0	so0		so0		so0				3																					rng												SC	SC	xx						1						1											so0			1									1												8			1	1							1																										1								8																																					
sk4	4		sd4	65	5																																																																								so0	so0			so0	so0	so0		so0		so0				2	2																				rng	1	thro										S4	S4	xx			1	1																			so0			1														1		3					8			1								1																										1								8																																					
sk5	5		sd5	1	1																																																																								so0	so0			so0	so0	so0		so0		so0				4	1																				both	1	weap			tpot							S3	S3	S3			1	1		1	1																so0			1														1		4					8			1								1																										1								8																																					
sk6	6	ama	sd6	4	8												ml27																																																												so0	so0			so0	so0	so0		so0		so0				11	17					ml27												1		1	rng		miss										A1	A1	xx				1																			so0			1	20													1							5	16	1	1										1+lvl/par2								75	mag dmg% conversion	10	extra arrows level											18	damage synergy	1	10	9						8	64														mag	3	2	5	15	30	45	5	3	7	17	34	51	((skill('sk8'.blvl)+skill('sk17'.blvl))+skill('sk22'.blvl))*par8								256	30000
sk7	7	ama	sd7	4	8												ml12																																																												so0	so0			so0	so0	so0		so0		so0				11	17					ml12												1		1	rng		miss										A1	A1	xx				1																			so0			6	20					sk6								1		1					5	12	1	1										2+lvl/par2										3	extra arrows level									24	damage synergy immo	24	damage synergy	1	10	10						8	64														fire	6	2	6	16	32	48	8	3	8	18	36	54	skill('sk27'.blvl)*par7+skill('sk6'.blvl)*par8								256	30000
sk8	8	ama	sd8		6																34179		st17	ln34	min(ln56,27)	is31	-edmn	is119	-min(lvl*par7,40)																																																so2241	so0			so0	so0	so0		so0		so0	ol47																					1	3		none												SC	SC	xx					4												1						so2241	ol47		1	20																			1	7	10		1																		40	base monster ac	25	monster ac/lvl	200	duration	100	duration per level	10	radius of effect	1	radius per level	1	-AR per level			1								8															mag	40	25	45	60	80	100															256	30000
sk9	9	ama	sd9																																											st64		is337	dm12																												so0	so0			so0	so0	so0		so0		so0																						1	4		rng		spea	miss											xx				1																			so0			1	20													1							8			1						1												5	min % to do double damage	80	max % to do double damage													1								8																																				256	30000
sk10	10	ama	sd10	5	7																																																																								so0	so2251			so0	so286	so292		so0		so0				12	16																	1	3		h2h		spea										SQ	A1	xx	1		1	1		1	1								1								so0			1	20													1						1	6	6	1											ln34+skill('sk30'.blvl)*par8	dmg%											15	Percent damage base	15	Percent damage per level							8	damage synergy	1	25	12						8	128																																			256	30000
