Sound	Index	FileName	Volume	Group Size	Loop	Fade In	Fade Out	Defer Inst	Stop Inst	Duration	Compound	Reverb	Falloff	Cache	Async Only	Priority	Stream	Stereo	Tracking	Solo	Music Vol	Block 1	Block 2	Block 3
so0		none.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
so1	1	cursor\pass.wav	255	0	0	0	0	0	1	0	0	0	1	1	0	100	0	0	0	0	0	-1	-1	-1
so2	2	cursor\select.wav	255	0	0	0	0	0	1	0	0	0	1	1	0	255	0	0	0	0	0	-1	-1	-1
so3	3	cursor\windowopen.wav	255	0	0	0	0	1	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
so4	4	cursor\button.wav	255	0	0	0	0	0	1	0	0	0	1	1	0	100	0	0	0	0	0	-1	-1	-1
so5	5	cursor\pointdrop.wav	220	0	0	0	0	0	1	0	0	0	1	1	0	255	0	0	0	0	0	-1	-1	-1
so6	6	cursor\windowopen.wav	220	0	0	0	0	1	0	0	0	0	1	1	0	100	0	0	0	0	0	-1	-1	-1
so7	7	cursor\levelup.wav	255	0	0	0	0	1	0	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
so8	8	cursor\leveluphireling.wav	255	0	0	0	0	1	0	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
so9	9	cursor\itembroken.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
so10	10	cursor\convertready.wav	255	0	0	0	0	1	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
so11	11	cursor\convert.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
so12	12	cursor\identifyready.wav	255	0	0	0	0	1	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
so13	13	cursor\identify.wav	255	0	0	0	0	0	0	0	4	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
