state	id	group	remhit	nosend	transform	aura	curable	curse	active	immed	restrict	disguise	blue	attblue	damblue	armblue	rfblue	rlblue	rcblue	stambarblue	rpblue	attred	damred	armred	rfred	rlred	rcred	rpred	exp	plrstaydeath	monstaydeath	bossstaydeath	hide	shatter	udead	life	green	pgsv	nooverlays	noclear	bossinv	meleeonly	notondead	overlay1	overlay2	overlay3	overlay4	pgsvoverlay	castoverlay	removerlay	stat	setfunc	remfunc	missile	skill	itemtype	itemtrans	colorpri	colorshift	light-r	light-g	light-b	onsound	offsound	gfxtype	gfxclass	cltevent	clteventfunc	cltactivefunc	srvactivefunc	eol
st0																																																															so0	so0							0
st1	1												1																		1		1	1	1																							100	108	150	215	255	so365	so0							0
st2	2																																			1	1												ol274									95	104	128	255	128	so376	so0							0
st3	3					1				1							1																											ol3					ol2		is39												so2367	so0							0
st4	4					1				1									1																									ol5					ol4		is43												so2366	so0							0
st5	5					1				1								1																										ol7					ol6		is41												so2368	so0							0
st6	6																																																														so0	so0							0
st7	7																																																														so0	so0							0
st8	8					1				1							1	1	1																									ol9	ol10				ol8		is41												so2369	so0							0
st9	9						1	1																																				ol128					ol69		is36												so2445	so0							0
st10	10	1														1																												ol38							is171												so0	so0							0
st11	11												1																																						is67							100	108	150	215	255	so365	so0							0
st12	12			1																																																											so0	so0							0
st13	13																																																			3											so0	so0							0
st14	14	1																																					1	1				ol141	ol142	ol143	ol144		ol140			6	3										so0	so0							0
st15	15															1																																			is171												so0	so0							0
st16	16													1									1																										ol153		is165					weap	cred						so0	so0							0
st17	17																							1																				ol48							is31												so0	so0							0
st18	18																																																														so0	so0							0
st19	19						1	1															1																					ol130					ol69		is25												so2482	so0							0
st20	20	1														1																												ol40							is171												so0	so0			ev0	1			0
st21	21																																											ol148																			so0	so0							0
st22	22																																																														so0	so0							0
st23	23						1	1																																				ol129					ol69														so2469	so0							0
st24	24																																																														so0	so0							0
st25	25																																											ol83							is68												so0	so0							0
st26	26					1										1																												ol76					ol75		is171												so0	so0							0
st27	27						1							1	1																													ol77																			so2486	so0							0
st28	28					1																																						ol120	ol121																		so2364	so0							0
st29	29					1																		1	1	1	1																	ol120	ol121						is167												so0	so0							0
st30	30																																											ol86																			so0	so0							0
st31	31																																																		is57					mele	cgrn						so0	so0							0
st32	32					1																																						ol155					ol154		is9												so0	so0							0
st33	33					1				1					1																													ol11	ol12						is25												so2362	so0							0
st34	34					1																																						ol13	ol14																		so2363	so0							0
st35	35					1																																						ol15	ol16																		so2358	so0							0
st36	36					1																																						ol19	ol20																		so2372	so0							0
st37	37					1				1						1																												ol23	ol24						is171												so2356	so0							0
st38	38																																												ol97				ol98														so0	so0							0
st39	39																																																														so0	so0							0
st40	40					1				1				1																														ol99	ol100						is119												so2353	so0							0
st41	41					1				1																																		ol101	ol102						is11												so2371	so0							0
st42	42					1				1					1																													ol103	ol104						is25												so2355	so0							0
st43	43					1																																						ol105																			so2360	so0							0
st44	44					1							1																															ol0					ol36		is67							100	108	150	215	255	so365	so0							0
st45	45					1																																						ol106	ol107																		so2354	so0							0
st46	46					1																																						ol108	ol109						is51												so2359	so0							0
st47	47					1			1																																			ol111	ol112						is162												so2370	so0					86		0
st48	48					1				1																																		ol114	ol115																		so2361	so0							0
st49	49					1				1				1	1																													ol116	ol117						is68												so2357	so0							0
st50	50					1																																						ol118	ol119																		so2365	so0							0
st51	51					1																																						ol160					ol159														so0	so0							0
st52	52									1																										1																											so0	so0							0
st53	53																												1															ol124																			so2377	so0							0
st54	54																																																				7										so0	so0							0
st55	55						1	1																																				ol131					ol69														so2471	so0							0
st56	56						1	1																																				ol132					ol69														so2477	so0							0
st57	57						1	1																					1															ol133					ol69														so2446	so0							0
st58	58						1	1																																				ol134					ol69														so2474	so0							0
st59	59						1	1																					1															ol135					ol69														so2456	so0							0
st60	60						1	1															1																					ol136					ol69		is170												so2468	so0							0
st61	61						1	1																	1	1	1	1																ol137					ol69		is41												so0	so0							0
st62	62								1																											1																											so0	so0					85		0
st63	63				1							1																			1	1	1		1						1																						so0	so0	2						0
st64	64			1																																																											so0	so0							0
st65	65			1																																																											so0	so0							0
st66	66			1																																																											so0	so0							0
st67	67																																																														so0	so0							0
