name	type	type2	code	alternateGfx	namestr	version	compactsave	rarity	spawnable	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam		rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	levelreq	cost	gamble cost	magic lvl	auto prefix	OpenBetaGfx	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	special	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HraltiMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem
hax 	axe		hax	hax	hax			3	1	3	6								2		100				56		3		170	4510		308	hax	hax	9ha	7ha	1hs	1hs	5	1hsl	1	3					flphax	invhax	invhaxu	invhaxu	1	2				so244	12	so244			5	0					35	7			3		1		1	1	1	1			255					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			2	2		axe	2ax	1	
axe 	axe		axe	axe	axe			4	1	4	11								2	10	100		32		48		7		403	8821		308	axe	axe	9ax	7ax	1hs	1hs	5	1hsl	2	3					flpaxe	invaxe	invaxeu	invaxeu	1	4				so246	12	so246			5	0						7			3	1	1	1	1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255			2	2		2ax	mpi	1	
2ax 	axe		2ax	axe	2ax			4	1	5	13								2	10	100		43		48		13		873	20349		308	axe	2ax	92a	72a	1hs	1hs	5	1hsl	2	3					flp2ax	inv2ax			1	5				so246	12	so246			5	0						7			3					255			1	1	30					255	1	1		1	20					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		mpi	wax	1	
mpi 	axe		mpi	axe	mpi			4	1	7	11								2	-10	100		49	33	52		19		1421	38999		308	axe	mpi	9mp	7mp	1hs	1hs	5	1hsl	2	3					flpmpi	invmpi	invmpiu	invmpiu	1	6				so246	12	so246			5	0						7			3					255					255					255		1		1	20					255					255	1	1		1	20					255					255					255					255					255			1	1	20					255					255					255					255			2	2		wax	xxx	1	
wax 	axe		wax	hax	wax			4	1	12	20								2		100		67		52		25		2123	68075		308	hax	wax	9wa	7wa	1hs	1hs	5	1hsl	2	3					flpwax	invwax			1	6				so246	12	so246			5	0						7			3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255	1	1	1	3	20					255	1	1	1	1	20					255					255			2	2		xxx	xxx	1	
lax 	axe	2han	lax	lax	lax			4	1				1	6	13				3	-10	110		35		60		6		354	7624		308	lax	lax	9la	7la	stf	stf	5	2hsl	2	3					flplax	invlax			1	4				so229	12	so229			5	0						7			3	1	1	1	1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			2	2		btx	gax	1	
bax 	axe	2han	bax	lax	bax			4	1				1	10	18				3		110		48		70		12		806	18172		308	lax	bax	9ba	7ba	stf	stf	5	2hsl	2	3					flpbrx	invbrx			1	5				so229	12	so229			5	0						7			3					255	1	1	1	1	20					255	1	1	1	1	20					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255			2	2		gax	gix	1	
btx 	axe	2han	btx	btx	btx			4	1				1	12	32				3	10	110		54		80		17		1262	32454		308	lax	btx	9bt	7bt	stf	stf	5	2hsl	2	3					flpbtx	invbtx	invbtxu	invbtxu	1	5				so229	12	so229			5	0						7			3					255					255					255	1	1	1	1	20					255					255	1	1		1	20					255					255					255					255					255					255					255					255					255					255			5	2		gix	xxx	1	
gax 	axe	2han	gax	btx	gax			4	1				1	9	30				4	-10	110		63	39	100		23		1916	58068		308	lax	gax	9ga	7ga	stf	stf	5	2hsl	2	4					flpgax	invgax	invgaxu	invgaxu	1	6				so229	12	so229			5	0						7			3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255					255					255					255					255					255			2	2		xxx	xxx	1	
gix 	axe	2han	gix	gix	gix			4	1				1	22	45				3	10	110		70		100		27		2410	81070		308	lax	gix	9gi	7gi	stf	stf	5	2hsl	2	3					flpgix	invgix			1	6				so229	12	so229			5	0						7			3					255					255					255					255					255					255		1			20					255				1	1					255					255					255	1	1	2	2	20					255	1	1	1	1	20					255					255			2	2		xxx	xxx	1	
